datetime,gazeX,gazeY,blink
20210601T134727.9654298,0,0,0
20210601T134728.1255871,0,0,0
20210601T134728.2215473,-0.002,0.033,0
20210601T134728.3654598,-0.002,0.033,0
20210601T134728.4618636,-0.035,0.027,0
20210601T134728.4935933,-0.035,0.027,0
20210601T134728.5575666,-0.019,0.091,0
20210601T134728.6537193,-0.019,0.091,0
20210601T134728.7334423,-0.021,0.062,0
20210601T134728.7654364,-0.021,0.062,0
20210601T134728.7974379,-0.008,0.066,1
20210601T134728.9255903,-0.008,0.066,1
20210601T134728.9896485,-0.021,0.067,0
20210601T134729.0536713,-0.021,0.067,0
20210601T134729.1176769,-0.021,0.054,0
20210601T134729.1975097,-0.021,0.054,0
20210601T134729.2617151,-0.032,0.044,0
20210601T134729.3256591,-0.032,0.044,0
20210601T134729.4217032,-0.064,0.031,0
20210601T134729.4856902,-0.064,0.031,0
20210601T134729.5654890,-0.064,0.031,0
20210601T134729.6294782,-0.049,0.072,0
20210601T134729.6936598,-0.049,0.072,0
20210601T134729.7896687,-0.079,0.033,0
20210601T134729.8216480,-0.079,0.033,0
20210601T134729.8856791,-0.065,0.054,0
20210601T134729.9974853,-0.065,0.054,0
20210601T134730.0614856,-0.041,0.061,0
20210601T134730.1576742,-0.041,0.061,0
20210601T134730.2215793,-0.049,0.023,0
20210601T134730.2856827,-0.049,0.023,0
20210601T134730.3495983,-0.036,0,0
20210601T134730.4615144,-0.036,0,0
20210601T134730.5255996,-0.056,-0.031,0
20210601T134730.5896579,-0.056,-0.031,0
20210601T134730.6216040,-0.079,0.004,0
20210601T134730.7176809,-0.079,0.004,0
20210601T134730.7816598,-0.078,-0.005,0
20210601T134730.8136478,-0.078,-0.005,0
20210601T134730.8935165,-0.084,0.036,0
20210601T134730.9256943,-0.084,0.036,0
20210601T134731.0217127,-0.05,0.09,0
20210601T134731.0536194,-0.05,0.09,0
20210601T134731.1176647,-0.04,0.11,1
20210601T134731.1816600,-0.04,0.11,1
20210601T134731.2137313,-0.017,0.082,1
20210601T134731.2934987,-0.017,0.082,1
20210601T134731.3896653,-0.048,0.093,1
20210601T134731.4216645,-0.048,0.093,1
20210601T134731.4856704,-0.081,0.133,0
20210601T134731.5177029,-0.081,0.133,0
20210601T134731.5816459,-0.089,0.159,0
20210601T134731.6137187,-0.089,0.159,0
20210601T134731.7254938,-0.056,0.114,0
20210601T134731.7575378,-0.056,0.114,0
20210601T134731.8856698,-0.031,0.077,0
20210601T134731.9496338,-0.058,0.163,0
20210601T134731.9816728,-0.058,0.163,0
20210601T134732.1254705,-0.058,0.163,0
20210601T134732.1574451,-0.084,0.173,1
20210601T134732.1894630,-0.084,0.173,1
20210601T134732.3176017,-0.037,0.127,1
20210601T134732.3496857,-0.037,0.127,1
20210601T134732.4136434,-0.083,0.058,0
20210601T134732.5097894,-0.083,0.058,0
20210601T134732.5575130,-0.083,0.064,0
20210601T134732.6216666,-0.083,0.064,0
20210601T134732.7176664,-0.09,0.069,0
20210601T134732.7816347,-0.09,0.069,0
20210601T134732.8457736,-0.078,0.072,0
20210601T134732.9097381,-0.078,0.072,0
20210601T134732.9575066,-0.081,0.094,0
20210601T134733.0214899,-0.081,0.094,0
20210601T134733.0856729,-0.064,0.083,0
20210601T134733.1816551,-0.064,0.083,0
20210601T134733.2135884,-0.054,0.075,0
20210601T134733.3096630,-0.054,0.075,0
20210601T134733.3416394,-0.077,0.073,0
20210601T134733.4535049,-0.077,0.073,0
20210601T134733.5496883,-0.059,0.066,0
20210601T134733.6136544,-0.059,0.066,0
20210601T134733.7096338,-0.056,0.089,0
20210601T134733.7416218,-0.056,0.089,0
20210601T134733.8214926,-0.069,0.093,0
20210601T134733.8858357,-0.069,0.093,0
20210601T134733.9816540,-0.076,0.058,0
20210601T134734.0456306,-0.085,0.074,0
20210601T134734.1417537,-0.085,0.074,0
20210601T134734.2215174,-0.103,0.063,0
20210601T134734.2535244,-0.103,0.063,0
20210601T134734.2855413,-0.114,0.068,0
20210601T134734.3817242,-0.114,0.068,0
20210601T134734.4456419,-0.112,0.099,1
20210601T134734.4776788,-0.112,0.099,1
20210601T134734.5736814,-0.087,0.088,1
20210601T134734.6854723,-0.087,0.088,1
20210601T134734.7174828,-0.106,0.105,1
20210601T134734.7495863,-0.106,0.105,1
20210601T134734.8776159,-0.102,0.068,1
20210601T134734.9097004,-0.102,0.068,1
20210601T134734.9416049,-0.116,0.073,0
20210601T134735.0377173,-0.116,0.073,0
20210601T134735.1175161,-0.082,0.071,0
20210601T134735.1495583,-0.082,0.071,0
20210601T134735.2139262,-0.088,0.064,0
20210601T134735.2459461,-0.088,0.064,0
20210601T134735.3416587,-0.1,0.083,1
20210601T134735.3736397,-0.1,0.083,1
20210601T134735.4056503,-0.107,0.109,1
20210601T134735.5175201,-0.107,0.109,1
20210601T134735.5495167,-0.111,0.118,1
20210601T134735.5816122,-0.111,0.118,1
20210601T134735.6136906,-0.1,0.118,0
20210601T134735.7416892,-0.1,0.118,0
20210601T134735.8056816,-0.106,0.118,1
20210601T134735.8377996,-0.106,0.118,1
20210601T134735.9495111,-0.117,0.109,0
20210601T134736.0137185,-0.117,0.109,0
20210601T134736.0776486,0.017,0.127,1
20210601T134736.1098165,0.017,0.127,1
20210601T134736.1417012,0.006,0.113,0
20210601T134736.2697035,0.006,0.113,0
20210601T134736.3495302,0.046,0.126,0
20210601T134736.3814814,0.046,0.126,0
20210601T134736.4776038,0.063,0.112,1
20210601T134736.5096702,0.063,0.112,1
20210601T134736.5736643,0.048,0.098,0
20210601T134736.6696568,0.048,0.098,0
20210601T134736.7337569,0.034,0.104,0
20210601T134736.8134921,0.034,0.104,0
20210601T134736.8454928,0.045,0.098,1
20210601T134736.9416308,0.045,0.098,1
20210601T134737.0377525,0.029,0.101,0
20210601T134737.0696939,0.029,0.101,0
20210601T134737.2135153,0.008,0.084,0
20210601T134737.2776514,0.008,0.084,0
20210601T134737.3097504,-0.014,0.103,0
20210601T134737.3737037,-0.014,0.103,0
20210601T134737.4696917,-0.028,0.103,0
20210601T134737.5336435,-0.028,0.103,0
20210601T134737.6135405,-0.025,0.098,0
20210601T134737.6455283,-0.025,0.098,0
20210601T134737.7417343,-0.008,0.088,0
20210601T134737.8056196,-0.008,0.088,0
20210601T134737.8377200,-0.035,0.109,0
20210601T134737.9337387,-0.035,0.109,0
20210601T134737.9976688,-0.044,0.122,1
20210601T134738.0455413,-0.044,0.122,1
20210601T134738.1095041,-0.056,0.094,1
20210601T134738.1416398,-0.056,0.094,1
20210601T134738.2376982,-0.052,0.068,0
20210601T134738.3336091,-0.052,0.068,0
20210601T134738.3975982,-0.023,0.076,0
20210601T134738.4775049,-0.023,0.076,0
20210601T134738.5414794,-0.011,0.098,0
20210601T134738.6376457,-0.011,0.098,0
20210601T134738.7016829,-0.005,0.084,0
20210601T134738.7336956,-0.005,0.084,0
20210601T134738.8616838,-0.03,0.082,0
