datetime,gazeX,gazeY,blink
20210601T123511.9449207,0,0,0
20210601T123511.9773456,0,0,0
20210601T123512.1049809,-0.015,0.053,0
20210601T123512.2808808,-0.015,0.053,0
20210601T123512.3128930,-0.023,0.057,0
20210601T123512.3448861,-0.023,0.057,0
20210601T123512.4410232,-0.045,0.054,0
20210601T123512.5050666,-0.045,0.054,0
20210601T123512.5370012,-0.01,0.057,0
20210601T123512.6331251,-0.01,0.057,0
20210601T123512.7128291,-0.027,0.053,0
20210601T123512.7772477,-0.027,0.053,0
20210601T123512.8092916,-0.042,0.054,0
20210601T123512.8729477,-0.042,0.054,0
20210601T123512.9690543,-0.05,0.048,0
20210601T123513.0651812,-0.05,0.048,0
20210601T123513.1128617,-0.047,0.041,0
20210601T123513.1449489,-0.047,0.041,0
20210601T123513.1768738,-0.055,0.061,0
20210601T123513.2730222,-0.055,0.061,0
20210601T123513.3051291,-0.067,0.054,0
20210601T123513.3691256,-0.067,0.054,0
20210601T123513.4970689,-0.076,0.049,0
20210601T123513.5448994,-0.076,0.049,0
20210601T123513.6410202,-0.093,0.072,0
20210601T123513.6730340,-0.093,0.072,0
20210601T123513.7691130,-0.082,0.071,0
20210601T123513.8650581,-0.082,0.071,0
20210601T123513.8971337,-0.089,0.079,0
20210601T123513.9768912,-0.089,0.079,0
20210601T123514.0089023,-0.094,0.074,0
20210601T123514.0408938,-0.094,0.074,0
20210601T123514.1050291,-0.108,0.079,0
20210601T123514.1690600,-0.108,0.079,0
20210601T123514.2011128,-0.117,0.08,0
20210601T123514.3291726,-0.117,0.08,0
20210601T123514.4088595,-0.105,0.071,0
20210601T123514.4730087,-0.105,0.071,0
20210601T123514.5690374,-0.04,0.09,0
20210601T123514.6331061,-0.04,0.09,0
20210601T123514.7289968,0.012,0.078,0
20210601T123514.8088986,0.012,0.078,0
20210601T123514.8408971,0.018,0.079,0
20210601T123514.9370671,0.018,0.079,0
20210601T123515.0009768,-0.004,0.095,0
20210601T123515.0650604,-0.004,0.095,0
20210601T123515.0970620,-0.002,0.078,0
20210601T123515.1611453,-0.002,0.078,0
20210601T123515.2409157,-0.014,0.077,0
20210601T123515.3049124,-0.014,0.077,0
20210601T123515.3690518,-0.022,0.081,0
20210601T123515.4010632,-0.022,0.081,0
20210601T123515.5290269,-0.028,0.081,0
20210601T123515.5610814,-0.028,0.081,0
20210601T123515.6729332,-0.061,0.083,0
20210601T123515.7048523,-0.061,0.083,0
20210601T123515.7368943,-0.069,0.07,0
20210601T123515.7690733,-0.069,0.07,0
20210601T123515.9290400,-0.071,0.053,0
20210601T123515.9612815,-0.071,0.053,0
20210601T123516.0249995,-0.062,0.059,0
20210601T123516.1048937,-0.062,0.059,0
20210601T123516.1368617,-0.083,0.068,0
20210601T123516.1690528,-0.083,0.068,0
20210601T123516.2970423,-0.079,0.069,0
20210601T123516.3291520,-0.079,0.069,0
20210601T123516.4251069,-0.088,0.063,0
20210601T123516.5049012,-0.088,0.063,0
20210601T123516.5368977,-0.093,0.064,0
20210601T123516.6331279,-0.093,0.064,0
20210601T123516.6650235,-0.088,0.066,0
20210601T123516.7612086,-0.088,0.066,0
20210601T123516.7930348,-0.097,0.08,0
20210601T123516.9369078,-0.097,0.08,0
20210601T123517.0009470,-0.106,0.078,0
20210601T123517.0971109,-0.106,0.078,0
20210601T123517.1611993,-0.018,0.092,0
20210601T123517.1931190,-0.018,0.092,0
20210601T123517.2250972,0.003,0.082,0
20210601T123517.3689013,0.003,0.082,0
20210601T123517.4008717,0.005,0.062,0
20210601T123517.4650033,0.005,0.062,0
20210601T123517.4969921,-0.014,0.059,0
20210601T123517.5930795,-0.014,0.059,0
20210601T123517.6571439,-0.004,0.082,0
20210601T123517.7210896,-0.004,0.082,0
20210601T123517.7531045,-0.021,0.082,0
20210601T123517.8329116,-0.021,0.082,0
20210601T123517.8650573,-0.031,0.061,0
20210601T123517.9291241,-0.031,0.061,0
20210601T123517.9931896,-0.03,0.055,0
20210601T123518.0890594,-0.03,0.055,0
20210601T123518.1530565,-0.035,0.066,0
20210601T123518.2329319,-0.035,0.066,0
20210601T123518.2648816,-0.031,0.033,0
20210601T123518.3290925,-0.031,0.033,0
20210601T123518.3610681,-0.032,0.049,0
20210601T123518.4251407,-0.032,0.049,0
20210601T123518.4891683,-0.037,0.068,0
20210601T123518.5531212,-0.037,0.068,0
20210601T123518.6649092,-0.061,0.058,0
20210601T123518.6969435,-0.061,0.058,0
20210601T123518.7290741,-0.06,0.046,0
20210601T123518.8251401,-0.06,0.046,0
20210601T123518.8570681,-0.052,0.075,0
20210601T123519.0170630,-0.052,0.075,0
20210601T123519.0968565,-0.025,0.056,0
20210601T123519.1610435,-0.025,0.056,0
20210601T123519.1930654,-0.005,0.054,0
20210601T123519.2890465,-0.005,0.054,0
20210601T123519.3209913,0.008,0.057,0
20210601T123519.3850852,0.008,0.057,0
20210601T123519.4171581,-0.005,0.041,0
20210601T123519.5288536,-0.005,0.041,0
20210601T123519.5609881,-0.006,0.044,0
20210601T123519.5931580,-0.006,0.044,0
20210601T123519.7530967,-0.027,0.049,0
20210601T123519.8170456,-0.027,0.049,0
20210601T123519.9289006,-0.018,0.029,0
20210601T123519.9930919,-0.018,0.029,0
20210601T123520.0251094,-0.035,0.031,0
20210601T123520.0891606,-0.035,0.031,0
20210601T123520.1211817,-0.04,0.034,0
20210601T123520.2171144,-0.04,0.034,0
20210601T123520.3289404,-0.058,0.041,0
20210601T123520.3942377,-0.058,0.041,0
20210601T123520.4250860,-0.043,0.04,0
20210601T123520.4571316,-0.043,0.04,0
20210601T123520.5531014,-0.048,0.044,0
20210601T123520.6171497,-0.048,0.044,0
20210601T123520.6490583,-0.048,0.034,0
20210601T123520.7130873,-0.048,0.034,0
20210601T123520.7928986,-0.045,0.033,0
20210601T123520.8570902,-0.045,0.033,0
20210601T123520.8893281,-0.057,0.032,0
20210601T123520.9210799,-0.057,0.032,0
20210601T123521.0491222,-0.06,0.046,0
20210601T123521.1609049,-0.06,0.046,0
20210601T123521.2249362,-0.068,0.038,0
20210601T123521.2890711,-0.068,0.038,0
20210601T123521.3530266,-0.068,0.03,0
20210601T123521.4169976,-0.068,0.03,0
20210601T123521.4810220,-0.087,0.031,0
20210601T123521.5130312,-0.087,0.031,0
20210601T123521.5929240,-0.096,0.047,0
20210601T123521.6248912,-0.096,0.047,0
20210601T123521.6568828,-0.074,0.067,0
20210601T123521.7530226,-0.074,0.067,0
20210601T123521.8170185,-0.087,0.079,0
20210601T123521.9130131,-0.087,0.079,0
20210601T123521.9770300,-0.113,0.075,0
20210601T123522.0569107,-0.113,0.075,0
20210601T123522.0888920,-0.125,0.067,0
20210601T123522.1850496,-0.125,0.067,0
20210601T123522.2490187,-0.119,0.072,0
20210601T123522.3130497,-0.119,0.072,0
20210601T123522.3770515,-0.044,0.095,1
20210601T123522.4569214,-0.044,0.095,1
20210601T123522.5530311,-0.02,0.061,0
20210601T123522.5850215,-0.02,0.061,0
20210601T123522.6810809,-0.002,0.029,0
20210601T123522.7455523,-0.002,0.029,0
20210601T123522.7772822,-0.034,0.022,0
20210601T123522.9209400,-0.034,0.022,0
20210601T123522.9851640,-0.039,0.049,0
20210601T123523.0171380,-0.039,0.049,0
20210601T123523.0811176,-0.043,0.043,1
20210601T123523.1771741,-0.043,0.043,1
20210601T123523.2091753,-0.035,0.078,0
20210601T123523.3209541,-0.035,0.078,0
20210601T123523.3529338,-0.07,0.081,0
20210601T123523.4491173,-0.07,0.081,0
20210601T123523.4811212,-0.067,0.089,0
20210601T123523.5771259,-0.067,0.089,0
20210601T123523.6731139,-0.061,0.097,0
20210601T123523.7529058,-0.061,0.097,0
20210601T123523.7848884,-0.054,0.086,0
20210601T123523.9130951,-0.054,0.086,0
20210601T123523.9771440,-0.07,0.063,0
20210601T123524.0091272,-0.07,0.063,0
20210601T123524.0731398,-0.091,0.088,0
20210601T123524.1849509,-0.091,0.088,0
20210601T123524.2811222,-0.089,0.078,1
20210601T123524.3131869,-0.089,0.078,1
20210601T123524.4411903,-0.104,0.077,0
20210601T123524.5050767,-0.104,0.077,0
20210601T123524.5529527,-0.105,0.074,0
20210601T123524.6491519,-0.105,0.074,0
20210601T123524.7131964,-0.084,0.079,1
20210601T123524.7770797,-0.084,0.079,1
20210601T123524.8410478,-0.094,0.073,0
20210601T123524.9052194,-0.094,0.073,0
20210601T123524.9849244,-0.032,0.095,0
20210601T123525.0489594,-0.032,0.095,0
20210601T123525.0810614,-0.043,0.054,0
20210601T123525.1623467,-0.043,0.054,0
20210601T123525.2411123,-0.079,0.064,0
20210601T123525.3051068,-0.079,0.064,0
20210601T123525.3371352,-0.08,0.057,0
20210601T123525.4489502,-0.08,0.057,0
20210601T123525.5451937,-0.089,0.062,0
20210601T123525.6091659,-0.089,0.062,0
20210601T123525.6411222,-0.089,0.062,0
20210601T123525.7051572,-0.094,0.107,1
20210601T123525.8489770,-0.094,0.107,1
20210601T123525.8809811,-0.011,0.062,0
20210601T123525.9771618,-0.011,0.062,0
20210601T123526.0091573,-0.008,0.045,0
20210601T123526.1371006,-0.008,0.045,0
20210601T123526.2489152,-0.034,0.041,0
20210601T123526.3129676,-0.034,0.041,0
20210601T123526.3770833,-0.013,0.036,0
20210601T123526.4731658,-0.013,0.036,0
20210601T123526.5371666,-0.022,0.023,0
20210601T123526.6011900,-0.022,0.023,0
20210601T123526.6331288,-0.026,0.037,0
20210601T123526.6809799,-0.026,0.037,0
20210601T123526.7130002,-0.012,0.048,0
20210601T123526.7771086,-0.012,0.048,0
20210601T123526.8411707,-0.007,0.042,0
20210601T123526.9690844,-0.007,0.042,0
20210601T123527.0011270,-0.04,0.063,0
