datetime,gazeX,gazeY,blink
20210601T125616.2938354,0,0,0
20210601T125616.3899814,0,0,0
20210601T125616.4539466,0.073,0.025,0
20210601T125616.5819790,0.073,0.025,0
20210601T125616.6617971,0.076,0.015,0
20210601T125616.7260633,0.076,0.015,0
20210601T125616.8219688,0.092,-0.016,0
20210601T125616.8539664,0.092,-0.016,0
20210601T125616.9181034,0.047,0.033,0
20210601T125617.0139600,0.047,0.033,0
20210601T125617.0938222,0.048,0.011,0
20210601T125617.1899851,0.048,0.011,0
20210601T125617.2859670,0.043,0.015,0
20210601T125617.3819596,0.043,0.015,0
20210601T125617.4139143,0.035,-0.002,0
20210601T125617.4942381,0.035,-0.002,0
20210601T125617.5899596,0.039,-0.003,0
20210601T125617.6859921,0.039,-0.003,0
20210601T125617.7179833,0.039,-0.018,0
20210601T125617.7499677,0.039,-0.018,0
20210601T125617.9257687,0.037,-0.004,0
20210601T125617.9577658,0.037,-0.004,0
20210601T125617.9900016,0.053,0.016,0
20210601T125618.0539406,0.053,0.016,0
20210601T125618.1180030,0.048,0.022,0
20210601T125618.2464776,0.048,0.022,0
20210601T125618.3258356,0.015,-0.002,0
20210601T125618.3578116,0.015,-0.002,0
20210601T125618.4219712,0.025,-0.012,0
20210601T125618.4539852,0.025,-0.012,0
20210601T125618.5499826,0.023,-0.006,0
20210601T125618.6139718,0.023,-0.006,0
20210601T125618.6459841,0.001,-0.015,0
20210601T125618.7099835,0.001,-0.015,0
20210601T125618.7578086,-0.01,-0.004,0
20210601T125618.7898265,-0.01,-0.004,0
20210601T125618.8859599,0.017,-0.004,0
20210601T125618.9501408,0.017,-0.004,0
20210601T125618.9820546,0.039,0.011,0
20210601T125619.1100023,0.023,-0.054,0
20210601T125619.1898786,0.023,-0.054,0
20210601T125619.2860204,0.008,-0.024,0
20210601T125619.3499464,0.008,-0.024,0
20210601T125619.4140483,0.012,-0.031,0
20210601T125619.4461117,0.012,-0.031,0
20210601T125619.5099763,-0.03,0.011,0
20210601T125619.5898017,-0.03,0.011,0
20210601T125619.6218053,-0,-0.026,0
20210601T125619.6859571,-0,-0.026,0
20210601T125619.7179832,0.008,-0.01,0
20210601T125619.7820078,0.008,-0.01,0
20210601T125619.8460012,-0.01,-0.009,0
20210601T125619.8780159,-0.01,-0.009,0
20210601T125620.0217969,-0.017,-0.014,0
20210601T125620.0538333,-0.017,-0.014,0
20210601T125620.1179628,0.013,0.003,0
20210601T125620.1820037,0.013,0.003,0
20210601T125620.2140361,0.051,0.007,0
20210601T125620.2779654,0.051,0.007,0
