datetime,gazeX,gazeY,blink
20210601T131949.5647756,0,0,0
20210601T131949.5969187,0,0,0
20210601T131949.7569137,0.061,0.119,0
20210601T131949.9007645,0.061,0.119,0
20210601T131949.9647747,0.069,0.137,0
20210601T131950.0609221,0.069,0.137,0
20210601T131950.1249399,0.059,0.149,0
20210601T131950.1889403,0.059,0.149,0
20210601T131950.2529526,0.05,0.138,0
20210601T131950.3327686,0.05,0.138,0
20210601T131950.3969329,0.061,0.275,1
20210601T131950.4609662,0.061,0.275,1
20210601T131950.4929524,0.023,0.287,1
20210601T131950.5569623,0.023,0.287,1
20210601T131950.6209196,0.077,0.272,1
20210601T131950.7169663,0.077,0.272,1
20210601T131950.7967866,0.034,0.122,1
20210601T131950.8611897,0.034,0.122,1
20210601T131950.9249429,0.043,0.105,0
20210601T131950.9889565,0.043,0.105,0
20210601T131951.0209516,0.047,0.098,0
20210601T131951.1489758,0.047,0.098,0
20210601T131951.1967784,0.048,0.086,0
20210601T131951.2613684,0.048,0.086,0
20210601T131951.3250185,0.036,0.094,0
20210601T131951.3569330,0.036,0.094,0
20210601T131951.4848962,0.026,0.097,0
20210601T131951.5488790,0.026,0.097,0
20210601T131951.6287472,0.036,0.098,0
20210601T131951.7249572,0.036,0.098,0
20210601T131951.7569326,0.033,0.098,0
20210601T131951.8528808,0.033,0.098,0
20210601T131951.9168895,0.033,0.094,0
20210601T131951.9809671,0.033,0.094,0
20210601T131952.0287831,0.027,0.105,0
20210601T131952.1569656,0.027,0.105,0
20210601T131952.2209903,0.029,0.113,0
20210601T131952.2849289,0.029,0.113,0
20210601T131952.3169536,0.016,0.1,0
20210601T131952.3489681,0.016,0.1,0
20210601T131952.5250187,0.005,0.104,0
20210601T131952.5569455,0.005,0.104,0
20210601T131952.6529983,0.007,0.11,0
20210601T131952.7169775,0.007,0.11,0
20210601T131952.8129941,0.001,0.119,0
20210601T131952.8927628,0.001,0.119,0
20210601T131952.9248456,-0.002,0.113,0
20210601T131952.9569627,-0.002,0.113,0
20210601T131953.0212767,-0.007,0.108,0
20210601T131953.0529513,-0.007,0.108,0
20210601T131953.0849473,-0.003,0.108,0
20210601T131953.1169860,-0.003,0.108,0
20210601T131953.2927563,0.003,0.114,0
20210601T131953.3247575,0.003,0.114,0
20210601T131953.3567658,-0.016,0.114,0
20210601T131953.3891656,-0.016,0.114,0
20210601T131953.5170196,-0.015,0.113,0
20210601T131953.5489596,-0.015,0.113,0
20210601T131953.5809841,-0.013,0.114,0
20210601T131953.6770344,-0.013,0.114,0
20210601T131953.7247599,-0.028,0.108,0
20210601T131953.8209641,-0.028,0.108,0
20210601T131953.8849782,-0.025,0.116,0
20210601T131953.9169478,-0.025,0.116,0
20210601T131954.0449486,-0.032,0.121,0
20210601T131954.0769211,-0.032,0.121,0
20210601T131954.1567384,-0.044,0.119,0
20210601T131954.2208394,-0.044,0.119,0
20210601T131954.2848977,-0.052,0.115,0
20210601T131954.3809432,-0.052,0.115,0
20210601T131954.4772218,-0.05,0.109,0
20210601T131954.5090039,-0.05,0.109,0
20210601T131954.5888104,0.047,0.128,0
20210601T131954.6207874,0.047,0.128,0
20210601T131954.6849106,0.066,0.129,0
20210601T131954.7489124,0.066,0.129,0
20210601T131954.7809131,0.062,0.126,0
20210601T131954.9410098,0.062,0.126,0
20210601T131955.0207913,0.057,0.137,0
20210601T131955.0528179,0.057,0.137,0
20210601T131955.1169807,0.032,0.133,0
20210601T131955.1809602,0.032,0.133,0
20210601T131955.2130305,0.034,0.136,0
20210601T131955.2769868,0.034,0.136,0
20210601T131955.3090234,0.037,0.14,0
20210601T131955.4527868,0.037,0.14,0
20210601T131955.4847742,0.014,0.146,0
20210601T131955.5809578,0.014,0.146,0
20210601T131955.6129773,0.016,0.14,0
20210601T131955.6769049,0.016,0.14,0
20210601T131955.7410317,0.022,0.139,0
20210601T131955.8048895,0.022,0.139,0
20210601T131955.8527494,0.024,0.143,0
20210601T131955.8847496,0.024,0.143,0
20210601T131955.9809167,0.014,0.137,0
20210601T131956.0129094,0.014,0.137,0
20210601T131956.1409678,0.012,0.14,0
20210601T131956.2528213,0.012,0.14,0
20210601T131956.2847839,0.006,0.137,0
20210601T131956.3167621,0.006,0.137,0
20210601T131956.3809576,-0,0.144,0
20210601T131956.5089711,-0,0.144,0
20210601T131956.5409571,-0.014,0.148,0
20210601T131956.7168207,-0.014,0.148,0
20210601T131956.8129248,-0.03,0.125,0
20210601T131956.9089119,-0.03,0.125,0
20210601T131957.0049807,-0.03,0.125,0
20210601T131957.0369176,-0.016,0.136,0
20210601T131957.1488235,-0.016,0.136,0
20210601T131957.3089777,-0.037,0.135,0
20210601T131957.3409542,-0.037,0.135,0
20210601T131957.4693892,-0.034,0.139,0
20210601T131957.5487831,-0.034,0.139,0
20210601T131957.6129781,-0.051,0.128,0
20210601T131957.6450141,-0.051,0.128,0
20210601T131957.7410012,-0.053,0.133,0
20210601T131957.8049647,-0.053,0.133,0
20210601T131957.8691715,-0.049,0.13,0
20210601T131957.9487964,-0.049,0.13,0
20210601T131957.9807922,-0.067,0.14,0
20210601T131958.0770162,-0.067,0.14,0
20210601T131958.1729979,-0.063,0.132,0
20210601T131958.2370421,-0.063,0.132,0
20210601T131958.3329777,-0.05,0.126,0
20210601T131958.4127793,-0.05,0.126,0
20210601T131958.4769200,-0.061,0.132,0
20210601T131958.5089153,-0.061,0.132,0
