datetime,gazeX,gazeY,blink
20210601T131838.7373096,0,0,0
20210601T131838.8973975,0,0,0
20210601T131838.9613561,0.056,0.13,0
20210601T131839.1372870,0.056,0.13,0
20210601T131839.1694362,0.045,0.136,0
20210601T131839.2014706,0.045,0.136,0
20210601T131839.2974380,0.025,0.14,0
20210601T131839.3614290,0.025,0.14,0
20210601T131839.4575272,0.029,0.128,0
20210601T131839.5372780,0.029,0.128,0
20210601T131839.6014031,0.031,0.117,0
20210601T131839.6334241,0.031,0.117,0
20210601T131839.6654903,0.046,0.118,0
20210601T131839.7294089,0.046,0.118,0
20210601T131839.7616867,0.025,0.117,0
20210601T131839.8254346,0.025,0.117,0
20210601T131839.9692607,0.023,0.126,0
20210601T131840.0334966,0.023,0.126,0
20210601T131840.0974626,0.03,0.114,0
20210601T131840.1614288,0.03,0.114,0
20210601T131840.2255063,0.024,0.116,0
20210601T131840.2574618,0.024,0.116,0
20210601T131840.3215073,0.014,0.124,0
20210601T131840.4012829,0.014,0.124,0
20210601T131840.4654367,0.012,0.113,0
20210601T131840.5294513,0.012,0.113,0
20210601T131840.5614456,-0.026,0.12,0
20210601T131840.5934588,-0.026,0.12,0
20210601T131840.6894445,-0.017,0.114,0
20210601T131840.7693298,-0.017,0.114,0
20210601T131840.8012973,-0.017,0.116,0
20210601T131840.8332919,-0.017,0.116,0
20210601T131840.9294306,-0.021,0.119,0
20210601T131840.9614051,-0.021,0.119,0
20210601T131840.9934622,-0.015,0.123,0
20210601T131841.0254934,-0.015,0.123,0
20210601T131841.1218114,-0.026,0.118,0
20210601T131841.1534991,-0.026,0.118,0
20210601T131841.3294010,-0.033,0.112,0
20210601T131841.3614072,-0.033,0.112,0
20210601T131841.3934543,-0.05,0.122,0
20210601T131841.4574755,-0.05,0.122,0
20210601T131841.5215033,-0.055,0.117,0
20210601T131841.5854632,-0.055,0.117,0
20210601T131841.6653117,-0.055,0.129,0
20210601T131841.6972855,-0.055,0.129,0
20210601T131841.7294328,-0.068,0.13,0
20210601T131841.7934560,-0.068,0.13,0
20210601T131841.8254607,-0.063,0.119,0
20210601T131841.9215042,-0.063,0.119,0
20210601T131841.9535247,-0.063,0.123,0
20210601T131842.0652995,-0.063,0.123,0
20210601T131842.1295366,-0.082,0.13,0
20210601T131842.1614925,-0.082,0.13,0
20210601T131842.2574569,-0.08,0.122,0
20210601T131842.3535475,-0.08,0.122,0
20210601T131842.4174774,-0.086,0.12,0
20210601T131842.4972393,-0.086,0.12,0
