datetime,gazeX,gazeY,blink
20210601T132507.1890443,0,0,0
20210601T132507.2852037,0,0,0
20210601T132507.3491563,0.067,0.031,0
20210601T132507.4772022,0.067,0.031,0
20210601T132507.5570281,0.057,0.004,0
20210601T132507.6211992,0.057,0.004,0
20210601T132507.6852441,0.055,0.013,0
20210601T132507.7491662,0.055,0.013,0
20210601T132507.7811651,0.048,0.011,0
20210601T132507.8452050,0.048,0.011,0
20210601T132507.9092060,0.048,0.025,1
20210601T132507.9890282,0.048,0.025,1
20210601T132508.0210260,0.013,0.104,1
20210601T132508.0852527,0.013,0.104,1
20210601T132508.1171630,0.033,0.035,1
20210601T132508.1811959,0.033,0.035,1
20210601T132508.2131986,0.032,0.03,1
20210601T132508.2771985,0.032,0.03,1
20210601T132508.3412045,0.019,0.035,1
20210601T132508.4531381,0.019,0.035,1
20210601T132508.5171500,0.021,0.028,1
20210601T132508.6131228,0.021,0.028,1
20210601T132508.6772052,0.005,0.029,0
20210601T132508.7732555,0.005,0.029,0
20210601T132508.8210275,-0.014,0.034,0
20210601T132508.8852188,-0.014,0.034,0
20210601T132508.9492267,-0.006,0.036,0
20210601T132509.0451948,-0.006,0.036,0
20210601T132509.1091649,-0.023,0.037,0
20210601T132509.1732355,-0.023,0.037,0
20210601T132509.2531611,-0.022,0.04,0
20210601T132509.3172339,-0.022,0.04,0
20210601T132509.3811904,-0.025,0.049,0
20210601T132509.4452269,-0.025,0.049,0
20210601T132509.4771891,-0.024,0.049,0
20210601T132509.5733317,-0.024,0.049,0
20210601T132509.6849880,-0.024,0.039,0
20210601T132509.7169827,-0.024,0.039,0
20210601T132509.8131643,-0.03,0.036,0
20210601T132509.8771760,-0.03,0.036,0
20210601T132509.9412021,-0.031,0.046,0
20210601T132510.0052229,-0.031,0.046,0
20210601T132510.1170407,-0.034,0.042,0
20210601T132510.1490335,-0.034,0.042,0
20210601T132510.2132069,-0.042,0.029,0
20210601T132510.2771995,-0.042,0.029,0
20210601T132510.3092682,-0.052,0.03,0
20210601T132510.3732023,-0.052,0.03,0
20210601T132510.4052489,-0.034,0.044,0
20210601T132510.4692267,-0.034,0.044,0
20210601T132510.5490423,-0.056,0.049,0
20210601T132510.5811927,-0.056,0.049,0
20210601T132510.6132064,0.052,0.051,0
20210601T132510.7411599,0.052,0.051,0
20210601T132510.8051214,0.048,0.041,0
20210601T132510.8690918,0.048,0.041,0
20210601T132510.9169748,0.051,0.048,0
20210601T132510.9810016,0.051,0.048,0
20210601T132511.0771491,0.055,0.053,0
20210601T132511.1411807,0.055,0.053,0
20210601T132511.2052221,0.043,0.058,0
20210601T132511.2692130,0.043,0.058,0
20210601T132511.3012793,0.048,0.06,0
20210601T132511.4130242,0.048,0.06,0
20210601T132511.4774609,0.048,0.06,0
20210601T132511.5411638,0.04,0.061,0
20210601T132511.6372253,0.04,0.061,0
20210601T132511.7331970,0.046,0.068,0
20210601T132511.8130350,0.046,0.068,0
20210601T132511.8450050,0.037,0.063,0
20210601T132511.9731390,0.037,0.063,0
20210601T132512.0371506,0.014,0.096,0
20210601T132512.1333613,0.014,0.096,0
20210601T132512.2130292,-0.009,0.104,0
20210601T132512.3412062,-0.009,0.104,0
20210601T132512.4051816,-0.014,0.1,0
20210601T132512.4693106,-0.014,0.1,0
20210601T132512.5012348,-0.027,0.097,0
20210601T132512.6130751,-0.027,0.097,0
20210601T132512.6450531,-0.011,0.101,0
20210601T132512.6770585,-0.011,0.101,0
20210601T132512.7092237,-0.01,0.1,0
20210601T132512.8371752,-0.01,0.1,0
20210601T132512.8692730,-0.021,0.093,0
20210601T132512.9331758,-0.021,0.093,0
20210601T132512.9651860,-0.026,0.094,0
20210601T132513.0770440,-0.026,0.094,0
20210601T132513.1411717,-0.042,0.095,0
20210601T132513.1732479,-0.042,0.095,0
20210601T132513.2371981,-0.034,0.091,0
20210601T132513.2694896,-0.034,0.091,0
20210601T132513.3012320,-0.033,0.089,0
20210601T132513.4292605,-0.033,0.089,0
20210601T132513.4770677,-0.043,0.086,0
20210601T132513.5412139,-0.043,0.086,0
20210601T132513.6053253,-0.049,0.086,0
20210601T132513.6372113,-0.049,0.086,0
20210601T132513.7016993,0.078,0.205,1
20210601T132513.7971906,0.078,0.205,1
20210601T132513.9090401,-0.053,0.101,1
20210601T132513.9410113,-0.053,0.101,1
20210601T132514.0052070,-0.035,0.098,0
20210601T132514.0692897,-0.035,0.098,0
20210601T132514.1332479,-0.022,0.09,0
20210601T132514.1974589,-0.022,0.09,0
20210601T132514.3090676,-0.033,0.102,0
20210601T132514.3410593,-0.033,0.102,0
20210601T132514.4052232,-0.059,0.108,0
20210601T132514.5012760,-0.059,0.108,0
20210601T132514.5651845,-0.031,0.119,0
20210601T132514.6292220,-0.031,0.119,0
20210601T132514.7410409,0.037,0.107,0
20210601T132514.7730147,0.037,0.107,0
20210601T132514.8050534,0.045,0.116,0
