datetime,gazeX,gazeY,blink
20210601T123138.3164041,0,0,0
20210601T123138.4125144,0,0,0
20210601T123138.5085710,0.027,0.065,0
20210601T123138.6523736,0.027,0.065,0
20210601T123138.7485340,0.036,0.05,0
20210601T123138.8125011,0.036,0.05,0
20210601T123138.8765183,0.014,0.057,0
20210601T123138.9085457,0.014,0.057,0
20210601T123139.0843288,-0.013,0.082,1
20210601T123139.1483485,-0.013,0.082,1
20210601T123139.2126002,-0.051,0.05,1
20210601T123139.2765684,-0.051,0.05,1
20210601T123139.3404931,-0.065,0.035,0
20210601T123139.4045171,-0.065,0.035,0
20210601T123139.4688622,-0.062,0.007,0
20210601T123139.5163193,-0.062,0.007,0
20210601T123139.5804898,-0.068,0.008,1
20210601T123139.6125051,-0.068,0.008,1
20210601T123139.7405474,-0.078,-0.001,1
20210601T123139.8365114,-0.078,-0.001,1
20210601T123139.9163955,-0.085,0.005,1
20210601T123139.9484068,-0.085,0.005,1
20210601T123140.0125603,-0.056,-0.003,1
20210601T123140.0445290,-0.056,-0.003,1
20210601T123140.1085449,-0.05,-0.009,0
20210601T123140.2045370,-0.05,-0.009,0
20210601T123140.2687106,-0.081,0.013,0
20210601T123140.3483855,-0.081,0.013,0
20210601T123140.3803949,-0.066,0.011,0
20210601T123140.4123905,-0.066,0.011,0
20210601T123140.4445189,-0.069,0.031,0
20210601T123140.5405680,-0.069,0.031,0
20210601T123140.6365823,-0.078,0.007,0
20210601T123140.7005414,-0.078,0.007,0
20210601T123140.8124319,-0.086,0.005,0
20210601T123140.8444038,-0.086,0.005,0
20210601T123140.8765346,-0.093,0.02,0
20210601T123140.9405528,-0.093,0.02,0
20210601T123141.0045934,-0.091,0.027,0
20210601T123141.0365446,-0.091,0.027,0
20210601T123141.1005524,-0.086,0.011,0
20210601T123141.1326109,-0.086,0.011,0
20210601T123141.2123530,-0.092,0.003,0
20210601T123141.2443300,-0.092,0.003,0
20210601T123141.2765342,-0.115,0.021,0
20210601T123141.3405476,-0.115,0.021,0
20210601T123141.3725974,-0.11,0.021,0
20210601T123141.4365570,-0.11,0.021,0
