datetime,gazeX,gazeY,blink
20210601T132216.1728439,0,0,0
20210601T132216.2369473,0,0,0
20210601T132216.3328970,0.07,0.051,0
20210601T132216.5087561,0.07,0.051,0
20210601T132216.5729627,0.063,0.055,0
20210601T132216.6689814,0.063,0.055,0
20210601T132216.7009679,0.045,0.065,0
20210601T132216.7970133,0.045,0.065,0
20210601T132216.8289777,0.034,0.067,0
20210601T132216.9087867,0.034,0.067,0
20210601T132216.9730432,0.041,0.067,0
20210601T132217.0369865,0.041,0.067,0
20210601T132217.1329444,0.045,0.07,0
20210601T132217.1969608,0.045,0.07,0
20210601T132217.2931030,0.026,0.076,0
20210601T132217.3727753,0.026,0.076,0
20210601T132217.4048039,0.027,0.076,0
20210601T132217.4689048,0.027,0.076,0
20210601T132217.5009035,0.038,0.073,0
20210601T132217.5974685,0.038,0.073,0
20210601T132217.6289586,0.032,0.072,0
20210601T132217.7249794,0.032,0.072,0
20210601T132217.8370514,0.011,0.075,0
20210601T132217.9010746,0.011,0.075,0
20210601T132217.9649769,0.021,0.091,0
20210601T132217.9970215,0.021,0.091,0
20210601T132218.0929663,0.011,0.088,0
20210601T132218.1250138,0.011,0.088,0
20210601T132218.1571073,0.016,0.08,0
20210601T132218.2368302,0.016,0.08,0
20210601T132218.3009839,0.013,0.088,0
20210601T132218.3330490,0.013,0.088,0
20210601T132218.4289896,-0,0.082,0
20210601T132218.4929881,-0,0.082,0
20210601T132218.5569957,-0.001,0.089,0
20210601T132218.6368325,-0.001,0.089,0
20210601T132218.6688282,-0,0.089,0
20210601T132218.7013762,-0,0.089,0
20210601T132218.7329757,-0.018,0.083,0
20210601T132218.8290689,-0.018,0.083,0
20210601T132218.8929757,-0.013,0.091,0
20210601T132218.9569863,-0.013,0.091,0
20210601T132219.0687872,-0.024,0.098,0
20210601T132219.1007890,-0.024,0.098,0
20210601T132219.1329767,-0.014,0.091,0
20210601T132219.2609420,-0.014,0.091,0
20210601T132219.3249529,-0.032,0.091,0
20210601T132219.3569992,-0.032,0.091,0
20210601T132219.4214793,-0.037,0.094,0
20210601T132219.5008339,-0.037,0.094,0
20210601T132219.5329855,-0.034,0.093,0
20210601T132219.5650533,-0.034,0.093,0
20210601T132219.6930030,-0.039,0.093,0
20210601T132219.7890739,-0.039,0.093,0
20210601T132219.8529595,-0.052,0.089,0
20210601T132219.9328555,-0.052,0.089,0
20210601T132219.9970698,-0.052,0.089,0
20210601T132220.0610181,-0.061,0.086,0
20210601T132220.1249809,-0.061,0.086,0
20210601T132220.1569665,0.056,0.091,0
20210601T132220.1889964,0.056,0.091,0
20210601T132220.3008407,0.058,0.091,0
20210601T132220.3648420,0.058,0.091,0
20210601T132220.3971974,0.074,0.093,0
20210601T132220.4930715,0.074,0.093,0
20210601T132220.5250382,0.069,0.086,0
20210601T132220.6210044,0.069,0.086,0
20210601T132220.7328586,0.054,0.088,0
20210601T132220.7968688,0.054,0.088,0
20210601T132220.8929423,0.054,0.089,0
20210601T132220.9889684,0.054,0.089,0
20210601T132221.0213447,0.05,0.088,0
20210601T132221.1648195,0.05,0.088,0
20210601T132221.1968002,0.043,0.094,0
20210601T132221.2930537,0.043,0.094,0
20210601T132221.3572528,0.037,0.099,0
20210601T132221.4209685,0.037,0.099,0
20210601T132221.4529657,0.042,0.106,0
20210601T132221.5648124,0.042,0.106,0
20210601T132221.5967724,0.017,0.09,0
20210601T132221.6610564,0.017,0.09,0
20210601T132221.6929515,0.032,0.099,0
20210601T132221.7569892,0.032,0.099,0
20210601T132221.7889810,0.028,0.091,0
20210601T132221.8851377,0.028,0.091,0
20210601T132221.9968440,0.03,0.089,0
20210601T132222.0287812,0.03,0.089,0
20210601T132222.0929705,0.04,0.125,1
20210601T132222.1569193,0.04,0.125,1
20210601T132222.1889402,0.014,0.108,0
20210601T132222.2850718,0.014,0.108,0
20210601T132222.3810243,0.016,0.099,0
20210601T132222.4608222,0.016,0.099,0
20210601T132222.5570757,0.015,0.097,0
20210601T132222.6529483,0.015,0.097,0
20210601T132222.7170481,0.064,0.107,0
20210601T132222.7490220,0.064,0.107,0
20210601T132222.8928485,0.066,0.101,0
20210601T132222.9569813,0.066,0.101,0
20210601T132223.0210199,0.064,0.102,0
20210601T132223.1489982,0.064,0.102,0
20210601T132223.1809953,0.057,0.107,0
20210601T132223.2607997,0.057,0.107,0
20210601T132223.3569246,0.055,0.11,0
20210601T132223.4209464,0.055,0.11,0
20210601T132223.4529807,0.048,0.113,0
20210601T132223.5169297,0.048,0.113,0
20210601T132223.6129519,0.044,0.115,0
20210601T132223.6928169,0.044,0.115,0
20210601T132223.7568345,0.04,0.111,0
20210601T132223.8209995,0.04,0.111,0
20210601T132223.9170403,0.04,0.117,0
20210601T132224.0129304,0.04,0.117,0
20210601T132224.1248347,0.024,0.117,0
20210601T132224.1888247,0.024,0.117,0
20210601T132224.2529477,0.029,0.114,0
20210601T132224.3489664,0.029,0.114,0
20210601T132224.4129541,0.029,0.111,0
20210601T132224.4769867,0.029,0.111,0
20210601T132224.5568604,0.016,0.103,0
20210601T132224.6209963,0.016,0.103,0
