datetime,gazeX,gazeY,blink
20210601T122745.3969850,0,0,0
20210601T122745.4291483,0,0,0
20210601T122745.5571375,0.04,0.02,0
20210601T122745.6528289,0.04,0.02,0
20210601T122745.7327015,0.05,0.029,0
20210601T122745.7647345,0.05,0.029,0
20210601T122745.8609410,0.055,0.063,0
20210601T122745.9248484,0.055,0.063,0
20210601T122745.9888130,0.021,0.023,0
20210601T122746.0208123,0.021,0.023,0
20210601T122746.1647044,-0.002,0.046,0
20210601T122746.2288346,-0.002,0.046,0
20210601T122746.2928799,-0.024,0.042,0
20210601T122746.3249106,-0.024,0.042,0
20210601T122746.3888932,-0.051,0.062,0
20210601T122746.5169748,-0.051,0.062,0
20210601T122746.5488938,-0.04,0.048,0
20210601T122746.6287421,-0.04,0.048,0
20210601T122746.6928424,-0.07,0.053,0
20210601T122746.7248929,-0.07,0.053,0
20210601T122746.7570080,-0.052,0.061,0
20210601T122746.8530295,-0.052,0.061,0
20210601T122746.8849226,-0.062,0.048,0
20210601T122746.9168987,-0.062,0.048,0
20210601T122747.0607300,-0.067,0.061,0
20210601T122747.1248662,-0.067,0.061,0
20210601T122747.1888938,-0.059,0.039,0
20210601T122747.2529600,-0.059,0.039,0
20210601T122747.3169575,-0.067,0.04,0
20210601T122747.3809174,-0.067,0.04,0
20210601T122747.4287325,-0.077,0.022,0
20210601T122747.5249100,-0.077,0.022,0
20210601T122747.5892711,-0.062,0.043,0
20210601T122747.6529011,-0.062,0.043,0
20210601T122747.7169740,-0.076,0.069,0
20210601T122747.7809806,-0.076,0.069,0
20210601T122747.8607078,-0.076,0.069,0
20210601T122747.9569769,-0.069,0.053,1
20210601T122748.0208600,-0.069,0.053,1
20210601T122748.0849208,-0.118,0.034,0
20210601T122748.1169021,-0.118,0.034,0
20210601T122748.1489574,-0.083,0.079,1
20210601T122748.3247141,-0.083,0.079,1
20210601T122748.3889942,-0.082,0.132,1
20210601T122748.4528732,-0.082,0.132,1
20210601T122748.5168577,-0.086,0.233,1
20210601T122748.6128405,-0.086,0.233,1
20210601T122748.6927262,-0.108,0.226,1
20210601T122748.7259356,-0.108,0.226,1
20210601T122748.8208175,-0.111,0.228,1
20210601T122748.8848359,-0.111,0.228,1
20210601T122748.9169503,-0.101,0.28,1
20210601T122749.0448054,-0.101,0.28,1
20210601T122749.0768609,-0.096,0.215,1
20210601T122749.1887091,-0.096,0.215,1
20210601T122749.2529101,0.012,0.196,0
20210601T122749.3169884,0.012,0.196,0
20210601T122749.4131877,-0.011,0.158,0
20210601T122749.4771765,-0.011,0.158,0
20210601T122749.5567495,-0.038,0.108,0
20210601T122749.5887981,-0.038,0.108,0
20210601T122749.6849770,-0.009,0.058,0
20210601T122749.7489031,-0.009,0.058,0
20210601T122749.7809589,0.007,0.045,0
20210601T122749.8449186,0.007,0.045,0
20210601T122749.8769084,0.009,0.032,0
20210601T122749.9887321,0.009,0.032,0
20210601T122750.0207282,-0.013,0.043,0
20210601T122750.1489675,-0.013,0.043,0
20210601T122750.2129166,-0.024,0.032,0
20210601T122750.2768620,-0.024,0.032,0
20210601T122750.3887494,-0.05,0.052,0
20210601T122750.4527482,-0.05,0.052,0
20210601T122750.5489757,-0.034,0.077,0
20210601T122750.5809876,-0.034,0.077,0
20210601T122750.7089121,-0.064,0.059,0
