Tdeblur (ms)
2609.2108
2491.4691
2530.2093
2620.2805
2500.1865
2655.2329
2570.2082
2465.9352
2443.182
2415.4844
2648.2184
2384.1981
2574.1956
2496.1911
2795.2305
2495.2046
2528.214
2512.2039
2507.2073
2522.2068
2412.7343
2510.2121
2441.1953
2530.2212
2521.1756
2463.2049
2405.1969
2680.2193
2681.2329
2587.2018
2433.2007
2448.2002
2788.2305
2654.2154
2431.1973
2443.1994
2664.2204
2496.2019
2459.2374
2443.6189
2542.2136
2431.2039
2446.2061
2545.2258
3080.2529
2454.2054
2455.2027
2449.2011
2472.2186
2654.8568
2425.2781
2432.2006
2452.2221
2498.1859
2542.2011
