datetime,gazeX,gazeY,blink
20210601T145411.8298781,0.091,0.385,0
20210601T145411.8618996,0.039,0.391,0
20210601T145411.9737907,0.039,0.391,0
20210601T145412.0376859,0.049,0.373,0
20210601T145412.0698042,0.049,0.373,0
20210601T145412.1659525,0.006,0.382,0
20210601T145412.1977897,0.006,0.382,0
20210601T145412.2618681,0.015,0.366,0
20210601T145412.2938653,0.015,0.366,0
20210601T145412.4057380,0.017,0.36,0
20210601T145412.4697478,0.013,0.37,0
20210601T145412.5018936,0.013,0.37,0
20210601T145412.5659715,-0.02,0.365,0
20210601T145412.5983620,-0.02,0.365,0
20210601T145412.6619049,-0.039,0.352,0
20210601T145412.7259086,-0.039,0.352,0
20210601T145412.7579266,-0.029,0.377,0
20210601T145412.8701548,-0.029,0.377,0
20210601T145412.9343100,-0.035,0.366,0
20210601T145412.9664252,-0.035,0.366,0
20210601T145413.0938856,-0.023,0.366,0
20210601T145413.1579191,-0.023,0.366,0
20210601T145413.1899230,-0.006,0.36,0
20210601T145413.3338794,-0.006,0.36,0
20210601T145413.3978688,-0.023,0.365,0
20210601T145413.4299049,-0.023,0.365,0
20210601T145413.4939871,-0.032,0.366,0
20210601T145413.5580406,-0.032,0.366,0
20210601T145413.6219465,-0.062,0.357,0
20210601T145413.7016938,-0.062,0.357,0
20210601T145413.7337027,-0.008,0.363,0
20210601T145413.7979182,-0.008,0.363,0
20210601T145413.8299012,0.004,0.362,0
20210601T145413.8622207,0.004,0.362,0
20210601T145413.9899018,0.033,0.367,0
20210601T145414.0538599,0.033,0.367,0
20210601T145414.1336761,0.095,0.365,0
20210601T145414.1660264,0.095,0.365,0
20210601T145414.1978728,-0.021,0.359,0
20210601T145414.3258694,-0.021,0.359,0
20210601T145414.3898537,-0.05,0.354,0
20210601T145414.4539211,-0.05,0.354,0
20210601T145414.5337097,-0.054,0.357,0
20210601T145414.6298606,-0.054,0.357,0
20210601T145414.6618570,-0.075,0.347,0
20210601T145414.7899107,-0.075,0.347,0
