datetime,gazeX,gazeY,blink
20210601T123718.5337915,0,0,0
20210601T123718.6299081,0,0,0
20210601T123718.7258896,-0.026,0.008,0
20210601T123718.8697454,-0.026,0.008,0
20210601T123718.9017641,-0.049,0.035,0
20210601T123718.9658966,-0.049,0.035,0
20210601T123719.0299250,-0.032,0.044,0
20210601T123719.0619085,-0.032,0.044,0
20210601T123719.0939129,-0.041,0.041,0
20210601T123719.1259261,-0.041,0.041,0
20210601T123719.3017514,-0.049,0.062,0
20210601T123719.3337388,-0.049,0.062,0
20210601T123719.4298820,-0.063,0.045,0
20210601T123719.4618480,-0.063,0.045,0
20210601T123719.5259382,-0.065,0.055,0
20210601T123719.5899499,-0.065,0.055,0
20210601T123719.6220151,-0.093,0.076,0
20210601T123719.7657797,-0.093,0.076,0
20210601T123719.8298905,-0.054,0.053,0
20210601T123719.9259789,-0.054,0.053,0
20210601T123719.9579021,-0.099,0.043,0
20210601T123720.0539668,-0.099,0.043,0
20210601T123720.1337862,-0.081,0.039,0
20210601T123720.1977796,-0.081,0.039,0
20210601T123720.2619227,-0.081,0.039,0
20210601T123720.3259501,-0.113,0.062,0
20210601T123720.3899442,-0.113,0.062,0
20210601T123720.4859652,-0.103,0.045,0
20210601T123720.5180026,-0.103,0.045,0
20210601T123720.6299195,-0.108,0.059,0
20210601T123720.6939218,-0.108,0.059,0
20210601T123720.7900991,-0.111,0.045,0
20210601T123720.8859121,-0.111,0.045,0
20210601T123720.9499085,-0.116,0.061,0
20210601T123720.9977857,-0.116,0.061,0
20210601T123721.0938468,-0.111,0.052,1
20210601T123721.1578943,-0.111,0.052,1
20210601T123721.2219203,-0.035,0.051,0
20210601T123721.3178649,-0.035,0.051,0
20210601T123721.3498792,-0.026,0.051,0
20210601T123721.4297184,-0.026,0.051,0
20210601T123721.4939286,-0.031,0.023,0
20210601T123721.5579453,-0.031,0.023,0
20210601T123721.6218977,-0.021,0.047,0
20210601T123721.7179179,-0.021,0.047,0
20210601T123721.7499056,-0.06,0.045,0
20210601T123721.8937675,-0.06,0.045,0
20210601T123721.9579353,-0.066,0.058,0
20210601T123721.9899761,-0.066,0.058,0
20210601T123722.0860037,-0.062,0.068,0
20210601T123722.1499046,-0.062,0.068,0
20210601T123722.2138995,-0.063,0.054,0
20210601T123722.3258664,-0.063,0.054,0
20210601T123722.3898568,-0.063,0.059,0
20210601T123722.4539711,-0.063,0.059,0
20210601T123722.5498982,-0.074,0.051,0
20210601T123722.5818836,-0.074,0.051,0
20210601T123722.6937341,-0.078,0.046,0
20210601T123722.7257372,-0.078,0.046,0
20210601T123722.8219324,-0.082,0.015,0
20210601T123722.8539066,-0.082,0.015,0
20210601T123722.9179066,-0.081,0.019,0
20210601T123722.9819385,-0.081,0.019,0
20210601T123723.0458694,-0.073,0.025,0
20210601T123723.1257610,-0.073,0.025,0
