datetime,gazeX,gazeY,blink
20210601T132742.8871329,0,0,0
20210601T132742.9513302,0,0,0
20210601T132743.0152391,0.052,0.066,0
20210601T132743.1751401,0.052,0.066,0
20210601T132743.2550642,0.04,0.078,0
20210601T132743.3511873,0.04,0.078,0
20210601T132743.4152734,0.038,0.07,0
20210601T132743.5112731,0.038,0.07,0
20210601T132743.5753042,0.045,0.064,0
20210601T132743.6072861,0.045,0.064,0
20210601T132743.7191195,0.016,0.078,0
20210601T132743.7835114,0.016,0.078,0
20210601T132743.8473469,0.02,0.086,0
20210601T132743.9432942,0.02,0.086,0
20210601T132744.0392451,-0.003,0.092,0
20210601T132744.0870763,-0.003,0.092,0
20210601T132744.1832202,-0,0.094,0
20210601T132744.2472663,-0,0.094,0
20210601T132744.3112919,-0.006,0.095,0
20210601T132744.3434295,-0.006,0.095,0
20210601T132744.3753026,-0.02,0.103,0
20210601T132744.4870917,-0.02,0.103,0
20210601T132744.5191190,-0.018,0.095,0
20210601T132744.6152461,-0.018,0.095,0
20210601T132744.7112442,-0.025,0.09,0
20210601T132744.7432405,-0.025,0.09,0
20210601T132744.8712667,-0.025,0.085,0
20210601T132744.9191162,-0.025,0.085,0
20210601T132744.9510994,-0.034,0.101,0
20210601T132745.0152657,-0.034,0.101,0
20210601T132745.0792789,-0.048,0.093,0
20210601T132745.1752178,-0.048,0.093,0
20210601T132745.2392623,-0.05,0.1,0
20210601T132745.3033009,-0.05,0.1,0
20210601T132745.3831198,-0.046,0.098,0
20210601T132745.4472562,-0.046,0.098,0
20210601T132745.4792810,-0.045,0.1,0
20210601T132745.6392927,-0.045,0.1,0
20210601T132745.6715071,-0.055,0.101,0
20210601T132745.7831196,-0.055,0.101,0
20210601T132745.8151234,-0.075,0.085,0
20210601T132745.8792749,-0.075,0.085,0
20210601T132745.9112784,-0.011,0.096,0
20210601T132746.1032522,-0.011,0.096,0
20210601T132746.1831400,0.044,0.108,0
20210601T132746.2151069,0.044,0.108,0
20210601T132746.2792853,0.052,0.108,0
20210601T132746.3435219,0.052,0.108,0
20210601T132746.4073355,0.042,0.106,0
20210601T132746.4713881,0.042,0.106,0
20210601T132746.5032829,0.033,0.112,0
20210601T132746.5672948,0.033,0.112,0
20210601T132746.6151369,0.027,0.107,0
20210601T132746.6471230,0.027,0.107,0
20210601T132746.6791321,0.013,0.109,0
20210601T132746.7112749,0.013,0.109,0
20210601T132746.9032559,0.02,0.104,0
20210601T132746.9672806,0.02,0.104,0
20210601T132747.0791050,0.012,0.104,0
20210601T132747.1433270,0.012,0.104,0
20210601T132747.2393964,0.004,0.105,0
20210601T132747.2713201,0.004,0.105,0
20210601T132747.3033562,-0.003,0.108,0
20210601T132747.3673320,-0.003,0.108,0
20210601T132747.5114592,0.005,0.106,0
20210601T132747.5753048,0.005,0.106,0
20210601T132747.6393160,0.005,0.104,0
20210601T132747.7033018,0.005,0.104,0
20210601T132747.7993372,-0.015,0.108,0
20210601T132747.8791602,-0.015,0.108,0
20210601T132747.9431644,-0.012,0.104,0
20210601T132747.9753181,-0.012,0.104,0
20210601T132748.1033115,-0.011,0.11,0
20210601T132748.1992540,-0.011,0.11,0
20210601T132748.2633538,-0.036,0.107,0
20210601T132748.3111722,-0.036,0.107,0
20210601T132748.3751603,-0.05,0.109,0
20210601T132748.4072980,-0.05,0.109,0
20210601T132748.5034102,-0.043,0.108,0
20210601T132748.5353174,-0.043,0.108,0
20210601T132748.5993448,-0.067,0.111,0
20210601T132748.6633243,-0.067,0.111,0
20210601T132748.6953447,-0.083,0.103,0
20210601T132748.8071399,-0.083,0.103,0
20210601T132748.8713711,-0.09,0.102,0
20210601T132748.9352967,-0.09,0.102,0
20210601T132748.9993012,0.029,0.106,0
20210601T132749.0953445,0.029,0.106,0
20210601T132749.1752562,0.04,0.134,0
20210601T132749.2393151,0.04,0.134,0
20210601T132749.3033118,0.047,0.126,1
20210601T132749.3673739,0.047,0.126,1
20210601T132749.3993277,0.037,0.122,1
20210601T132749.4633347,0.037,0.122,1
20210601T132749.4953433,0.024,0.123,1
20210601T132749.6071252,0.024,0.123,1
20210601T132749.6391056,0.025,0.124,1
20210601T132749.6712805,0.025,0.124,1
20210601T132749.7993852,0.001,0.128,1
20210601T132749.8634067,0.001,0.128,1
20210601T132749.9273227,-0.002,0.125,1
20210601T132750.0072008,-0.002,0.125,1
