datetime,gazeX,gazeY,blink
20210601T125718.3396653,0,0,0
20210601T125718.4035110,0,0,0
20210601T125718.4993869,0.037,-0.038,0
20210601T125718.6273874,0.037,-0.038,0
20210601T125718.7071924,0.048,0.003,0
20210601T125718.8033319,0.048,0.003,0
20210601T125718.8356137,0.019,0.027,0
20210601T125719.0273225,0.019,0.027,0
20210601T125719.1072418,0.035,0.029,0
20210601T125719.2034045,0.035,0.029,0
20210601T125719.2354169,0.039,0.006,0
20210601T125719.3313626,0.039,0.006,0
20210601T125719.3953239,0.027,-0.004,0
20210601T125719.4593613,0.027,-0.004,0
20210601T125719.5391820,0.019,-0.01,0
20210601T125719.6032981,0.019,-0.01,0
20210601T125719.6353416,0.038,-0.01,0
20210601T125719.6674506,0.038,-0.01,0
20210601T125719.7634621,0.029,-0.024,0
20210601T125719.8274380,0.029,-0.024,0
20210601T125719.8914270,0.023,-0.02,0
20210601T125720.0032415,0.023,-0.02,0
20210601T125720.0353558,0.01,0.01,0
20210601T125720.0994127,0.01,0.01,0
20210601T125720.1314200,0.014,0.011,0
20210601T125720.2274504,0.014,0.011,0
20210601T125720.2914299,0.007,-0.007,0
20210601T125720.3712405,0.007,-0.007,0
20210601T125720.4032647,0.019,0.006,0
20210601T125720.4352556,0.019,0.006,0
20210601T125720.4993922,0.003,-0.001,0
20210601T125720.5634207,0.003,-0.001,0
20210601T125720.5954226,0.019,-0.007,0
20210601T125720.6914362,0.019,-0.007,0
20210601T125720.7554343,-0.008,0.01,0
20210601T125720.8032626,-0.008,0.01,0
20210601T125720.8994282,-0.008,-0.019,0
20210601T125720.9634091,0.007,-0.015,0
20210601T125720.9954181,0.007,-0.015,0
20210601T125721.0594344,-0.031,-0.022,0
20210601T125721.1234339,-0.031,-0.022,0
20210601T125721.1554444,-0.025,0.009,0
20210601T125721.2352842,-0.025,0.009,0
20210601T125721.2672423,-0.001,0.002,0
20210601T125721.3634005,-0.001,0.002,0
20210601T125721.4274558,-0.006,-0.024,0
20210601T125721.4594271,-0.006,-0.024,0
20210601T125721.5554665,-0.011,0.006,0
20210601T125721.6672743,-0.011,0.006,0
20210601T125721.6992500,-0.006,-0.004,0
20210601T125721.7954363,-0.006,-0.004,0
20210601T125721.8594239,-0.027,-0.011,0
20210601T125721.9234832,-0.027,-0.011,0
20210601T125721.9874211,-0.024,0.019,0
20210601T125722.0673173,-0.024,0.019,0
20210601T125722.0992712,0.045,0.008,0
20210601T125722.1634289,0.045,0.008,0
20210601T125722.1954264,0.03,0.012,0
20210601T125722.2274267,0.03,0.012,0
20210601T125722.2594265,0.042,0.006,0
20210601T125722.4194139,0.042,0.006,0
20210601T125722.4514254,0.022,-0.018,0
20210601T125722.4992452,0.022,-0.018,0
20210601T125722.5953965,0.072,0.004,0
20210601T125722.6274091,0.072,0.004,0
20210601T125722.6914198,0.035,-0.018,0
20210601T125722.7874642,0.035,-0.018,0
20210601T125722.8194195,0.023,-0.011,0
