datetime,gazeX,gazeY,blink
20210601T123048.4880163,0,0,0
20210601T123048.5202163,0,0,0
20210601T123048.6481380,-0,0.058,0
20210601T123048.7760953,-0,0.058,0
20210601T123048.8239872,-0.015,0.067,0
20210601T123048.8562416,-0.015,0.067,0
20210601T123048.9201421,-0,0.095,0
20210601T123048.9521615,-0,0.095,0
20210601T123049.0166608,-0.006,0.1,0
20210601T123049.1442434,-0.006,0.1,0
20210601T123049.2082778,-0.013,0.109,1
20210601T123049.2883149,-0.013,0.109,1
20210601T123049.3200212,-0.029,0.082,1
20210601T123049.3841132,-0.029,0.082,1
20210601T123049.4162426,-0.033,0.093,1
20210601T123049.4801885,-0.033,0.093,1
20210601T123049.5762114,-0.041,0.1,0
20210601T123049.6082162,-0.041,0.1,0
20210601T123049.7200273,-0.068,0.086,1
20210601T123049.7842448,-0.068,0.086,1
20210601T123049.8801851,-0.068,0.117,1
20210601T123049.9121456,-0.068,0.117,1
20210601T123050.0081529,-0.055,0.079,1
20210601T123050.1200575,-0.055,0.079,1
20210601T123050.1842440,-0.094,0.098,0
20210601T123050.2483431,-0.094,0.098,0
20210601T123050.2802306,-0.089,0.08,0
20210601T123050.3442186,-0.089,0.08,0
20210601T123050.3762046,-0.122,0.068,0
20210601T123050.4082569,-0.122,0.068,0
20210601T123050.4722708,-0.104,0.074,0
20210601T123050.5520291,-0.104,0.074,0
20210601T123050.6162229,-0.099,0.09,0
20210601T123050.7122140,-0.099,0.09,0
20210601T123050.8083225,-0.097,0.091,0
20210601T123050.8401806,-0.097,0.091,0
20210601T123050.8722310,-0.131,0.043,0
20210601T123050.9041980,-0.131,0.043,0
20210601T123050.9840544,-0.109,0.033,0
20210601T123051.0481596,-0.109,0.033,0
20210601T123051.1122032,-0.112,0.035,0
20210601T123051.1442404,-0.112,0.035,0
20210601T123051.1761786,-0.107,0.027,0
20210601T123051.2722223,-0.107,0.027,0
20210601T123051.3042252,-0.12,0.037,0
20210601T123051.4160601,-0.12,0.037,0
20210601T123051.4480455,-0.126,0.014,0
20210601T123051.4802251,-0.126,0.014,0
20210601T123051.5121833,-0.039,0.077,1
20210601T123051.6082224,-0.039,0.077,1
20210601T123051.7042728,0.007,0.08,0
20210601T123051.7362545,0.007,0.08,0
20210601T123051.8160362,-0,0.053,0
20210601T123051.8801936,-0,0.053,0
20210601T123051.9761984,0.009,0.038,0
20210601T123052.0081964,0.009,0.038,0
20210601T123052.1042945,0.007,0.027,0
20210601T123052.1681718,0.007,0.027,0
20210601T123052.2480612,0.008,0.043,0
20210601T123052.2800567,0.008,0.043,0
20210601T123052.3442182,0.001,0.028,0
20210601T123052.4402101,0.001,0.028,0
20210601T123052.5362045,-0.005,0.031,0
20210601T123052.6480736,-0.005,0.031,0
20210601T123052.7120713,-0.014,0.036,0
20210601T123052.8082073,-0.014,0.036,0
20210601T123052.8401401,-0.017,0.061,0
20210601T123052.9682035,-0.017,0.061,0
20210601T123053.0323016,-0.029,0.06,0
20210601T123053.1119897,-0.029,0.06,0
20210601T123053.1439939,-0.039,0.075,0
20210601T123053.2402116,-0.039,0.075,0
20210601T123053.2721195,-0.057,0.078,0
20210601T123053.3041577,-0.057,0.078,0
20210601T123053.3681907,-0.055,0.067,0
20210601T123053.4322209,-0.055,0.067,0
20210601T123053.4642246,-0.059,0.05,0
20210601T123053.5762063,-0.059,0.05,0
20210601T123053.6402229,-0.079,0.044,0
20210601T123053.7041706,-0.079,0.044,0
20210601T123053.7361892,-0.092,0.044,0
20210601T123053.8642878,-0.092,0.044,0
20210601T123053.9440181,-0.107,0.055,0
20210601T123054.0082446,-0.107,0.055,0
20210601T123054.0402398,-0.101,0.077,0
20210601T123054.0721923,-0.101,0.077,0
20210601T123054.1362743,-0.115,0.09,1
20210601T123054.2327987,-0.115,0.09,1
20210601T123054.3440489,-0.122,0.087,0
20210601T123054.4080750,-0.122,0.087,0
20210601T123054.4722104,-0.069,0.095,1
20210601T123054.5362158,-0.069,0.095,1
20210601T123054.6002826,-0.025,0.076,0
20210601T123054.6642208,-0.025,0.076,0
20210601T123054.6962043,0.003,0.077,0
20210601T123054.7282904,0.003,0.077,0
20210601T123054.8080705,-0.001,0.074,0
20210601T123054.8400542,-0.001,0.074,0
20210601T123054.8721856,0.008,0.077,0
20210601T123055.0002849,0.008,0.077,0
20210601T123055.0323458,0.007,0.08,0
20210601T123055.1602363,0.007,0.08,0
20210601T123055.2080811,0.006,0.069,0
20210601T123055.2400541,0.006,0.069,0
20210601T123055.3682808,-0.004,0.078,0
20210601T123055.4322550,-0.004,0.078,0
20210601T123055.4961811,-0.023,0.082,0
20210601T123055.6081437,-0.023,0.082,0
20210601T123055.6400396,-0.021,0.066,0
20210601T123055.6720670,-0.021,0.066,0
20210601T123055.7046328,-0.01,0.073,0
20210601T123055.7682217,-0.01,0.073,0
20210601T123055.8641980,-0.029,0.081,0
20210601T123055.9602563,-0.029,0.081,0
20210601T123056.0720436,-0.038,0.041,1
20210601T123056.1362317,-0.038,0.041,1
20210601T123056.2322312,-0.054,0.052,0
20210601T123056.2962036,-0.054,0.052,0
20210601T123056.3282118,-0.062,0.048,0
20210601T123056.3601770,-0.062,0.048,0
20210601T123056.4721065,-0.062,0.036,0
20210601T123056.5040911,-0.062,0.036,0
20210601T123056.5360394,-0.058,0.065,0
20210601T123056.6002090,-0.058,0.065,0
20210601T123056.6642106,-0.073,0.064,0
20210601T123056.7603039,-0.073,0.064,0
20210601T123056.8244612,-0.073,0.064,0
20210601T123056.9040714,-0.073,0.064,0
20210601T123056.9681638,-0.081,0.076,0
20210601T123057.0321607,-0.081,0.076,0
20210601T123057.0645924,-0.071,0.064,0
20210601T123057.1603247,-0.071,0.064,0
20210601T123057.2242113,-0.055,0.081,1
20210601T123057.3360293,-0.055,0.081,1
20210601T123057.3681312,0.019,0.057,0
20210601T123057.4001743,0.019,0.057,0
20210601T123057.4321570,0.01,0.069,0
20210601T123057.5282200,0.01,0.069,0
20210601T123057.6242406,0.02,0.041,0
20210601T123057.6562237,0.02,0.041,0
20210601T123057.7680888,0.013,0.043,0
20210601T123057.8000853,0.013,0.043,0
20210601T123057.8322220,0.005,0.036,0
20210601T123057.8962364,0.005,0.036,0
20210601T123057.9602313,0.007,0.061,0
20210601T123057.9922499,0.007,0.061,0
20210601T123058.0562640,0.003,0.063,0
20210601T123058.0884534,0.003,0.063,0
20210601T123058.2000573,-0.015,0.13,1
20210601T123058.2642619,-0.015,0.13,1
20210601T123058.3602029,0.003,0.072,0
20210601T123058.4247059,0.003,0.072,0
20210601T123058.4563110,-0.018,0.069,0
20210601T123058.5202892,-0.018,0.069,0
20210601T123058.6320802,-0.014,0.045,0
20210601T123058.6642215,-0.014,0.045,0
20210601T123058.7925431,0.014,0.127,1
20210601T123058.8242036,0.014,0.127,1
20210601T123058.8882402,0.008,0.066,0
20210601T123059.0320689,0.008,0.066,0
20210601T123059.0640736,0.018,0.053,0
20210601T123059.0962306,0.018,0.053,0
20210601T123059.1924877,0.032,0.039,0
20210601T123059.2562002,0.032,0.039,0
20210601T123059.3202115,0.031,0.035,0
20210601T123059.4320485,0.031,0.035,0
20210601T123059.4960879,0.019,0.035,0
20210601T123059.5284988,0.019,0.035,0
20210601T123059.5602111,0.003,0.109,1
20210601T123059.6881883,0.003,0.109,1
20210601T123059.7522213,-0.004,0.08,1
20210601T123059.7842365,-0.004,0.08,1
20210601T123059.8961013,-0.004,0.08,1
20210601T123059.9282494,-0.002,0.038,0
20210601T123100.0242125,-0.002,0.038,0
20210601T123100.0562644,-0.019,0.06,0
20210601T123100.1202152,-0.019,0.06,0
20210601T123100.2162268,-0.02,0.055,0
20210601T123100.2960630,-0.02,0.055,0
20210601T123100.3280926,-0.022,0.074,0
20210601T123100.4563283,-0.022,0.074,0
20210601T123100.5205669,-0.039,0.036,0
20210601T123100.5523430,-0.039,0.036,0
20210601T123100.6483143,-0.037,0.024,0
20210601T123100.7306262,-0.037,0.024,0
20210601T123100.7922530,-0.044,0.084,0
20210601T123100.8561826,-0.044,0.084,0
20210601T123100.8881914,-0.063,0.086,0
20210601T123100.9521824,-0.063,0.086,0
20210601T123101.0162244,-0.052,0.105,1
20210601T123101.0804663,-0.052,0.105,1
20210601T123101.1601196,-0.05,0.095,1
20210601T123101.2242785,-0.05,0.095,1
20210601T123101.2882393,-0.046,0.227,1
20210601T123101.3203397,-0.046,0.227,1
20210601T123101.3523270,-0.069,0.12,1
20210601T123101.4802867,-0.069,0.12,1
20210601T123101.5600778,-0.059,0.089,0
20210601T123101.5920942,-0.059,0.089,0
20210601T123101.7203393,-0.094,0.103,1
20210601T123101.7842111,-0.094,0.103,1
20210601T123101.8162583,-0.082,0.117,0
20210601T123101.8483052,-0.082,0.117,0
20210601T123101.9123437,-0.084,0.112,0
20210601T123101.9600834,-0.084,0.112,0
20210601T123102.0240838,-0.105,0.114,1
20210601T123102.0562589,-0.105,0.114,1
20210601T123102.1523050,-0.101,0.115,0
20210601T123102.1843173,-0.101,0.115,0
20210601T123102.2802929,-0.076,0.128,0
20210601T123102.3920907,-0.076,0.128,0
20210601T123102.4240917,-0.028,0.15,1
20210601T123102.4882296,-0.028,0.15,1
20210601T123102.5203205,-0.028,0.104,0
20210601T123102.6162160,-0.028,0.104,0
20210601T123102.6483439,-0.005,0.082,0
20210601T123102.7122910,-0.005,0.082,0
20210601T123102.7763595,0.005,0.077,0
20210601T123102.8561351,0.005,0.077,0
20210601T123102.8881045,-0,0.073,0
20210601T123102.9522583,-0,0.073,0
20210601T123103.0163299,0.009,0.091,0
20210601T123103.0482732,0.009,0.091,0
20210601T123103.1124339,-0.01,0.079,0
20210601T123103.2082822,-0.01,0.079,0
20210601T123103.2561011,-0.021,0.068,0
20210601T123103.3202538,-0.021,0.068,0
20210601T123103.3843284,-0.033,0.051,0
20210601T123103.4482857,-0.033,0.051,0
20210601T123103.5122482,-0.055,0.066,0
20210601T123103.5442374,-0.055,0.066,0
20210601T123103.6561090,-0.055,0.052,0
20210601T123103.6881266,-0.055,0.052,0
20210601T123103.7201339,-0.055,0.068,0
