datetime,gazeX,gazeY,blink
20210601T132308.0852137,0,0,0
20210601T132308.1493548,0,0,0
20210601T132308.2453068,0.05,0.065,0
20210601T132308.4211816,0.05,0.065,0
20210601T132308.4531766,0.043,0.076,0
20210601T132308.5176241,0.043,0.076,0
20210601T132308.5813514,0.04,0.083,0
20210601T132308.6453331,0.04,0.083,0
20210601T132308.6773413,0.037,0.074,0
20210601T132308.7413662,0.037,0.074,0
20210601T132308.7733657,0.043,0.081,0
20210601T132308.8852269,0.043,0.081,0
20210601T132308.9813071,0.034,0.091,0
20210601T132309.0453928,0.034,0.091,0
20210601T132309.1414012,0.027,0.085,0
20210601T132309.2053983,0.027,0.085,0
20210601T132309.2851156,0.007,0.089,0
20210601T132309.3492639,0.007,0.089,0
20210601T132309.4133140,0.007,0.098,0
20210601T132309.4453561,0.007,0.098,0
20210601T132309.5733259,0.009,0.089,0
20210601T132309.6053546,0.009,0.089,0
20210601T132309.6851912,-0.005,0.11,0
20210601T132309.7491624,-0.005,0.11,0
20210601T132309.7812986,0.003,0.104,0
20210601T132309.9093249,0.003,0.104,0
20210601T132309.9733191,0.011,0.1,0
20210601T132310.0372759,0.011,0.1,0
20210601T132310.1171670,0.012,0.101,0
20210601T132310.1812557,0.012,0.101,0
20210601T132310.2134990,0.021,0.117,1
20210601T132310.2773645,0.021,0.117,1
20210601T132310.3413495,0.004,0.098,0
20210601T132310.4053786,0.004,0.098,0
20210601T132310.4374819,0.005,0.098,0
20210601T132310.5014636,0.005,0.098,0
20210601T132310.6453548,0.004,0.097,0
20210601T132310.7093200,0.004,0.097,0
20210601T132310.8053540,-0.001,0.1,0
20210601T132310.8693724,-0.001,0.1,0
20210601T132310.9811758,0.001,0.1,0
20210601T132311.0452886,0.001,0.1,0
20210601T132311.0772605,-0.026,0.105,0
20210601T132311.1093358,-0.026,0.105,0
20210601T132311.2053574,-0.023,0.104,0
20210601T132311.2693738,-0.023,0.104,0
20210601T132311.3014383,-0.057,0.078,0
20210601T132311.4132145,-0.057,0.078,0
20210601T132311.4773456,-0.088,0.124,0
20210601T132311.5413839,-0.088,0.124,0
20210601T132311.6053412,-0.058,0.081,0
20210601T132311.6693365,-0.058,0.081,0
20210601T132311.7013455,0.034,0.139,0
20210601T132311.8132165,0.034,0.139,0
20210601T132311.8452123,0.02,0.07,0
20210601T132311.9413668,0.02,0.07,0
20210601T132312.0053671,-0.071,0.03,0
20210601T132312.0693839,-0.071,0.03,0
20210601T132312.1333398,-0.015,0.037,0
20210601T132312.1654001,-0.015,0.037,0
20210601T132312.2771849,-0.113,-0.021,0
20210601T132312.3092087,-0.113,-0.021,0
20210601T132312.3413800,-0.046,0.074,0
20210601T132312.4053652,-0.046,0.074,0
20210601T132312.5333358,-0.055,0.066,0
20210601T132312.5973539,-0.055,0.066,0
20210601T132312.6772113,-0.039,0.069,0
20210601T132312.7413496,-0.039,0.069,0
20210601T132312.7734051,-0.042,0.077,0
20210601T132312.8372964,-0.042,0.077,0
20210601T132312.9012937,-0.052,0.079,0
20210601T132312.9333321,-0.052,0.079,0
20210601T132312.9973735,-0.086,0.065,0
20210601T132313.0293557,-0.086,0.065,0
20210601T132313.1092079,-0.078,0.077,0
20210601T132313.1411987,-0.078,0.077,0
20210601T132313.2053799,-0.075,0.081,0
20210601T132313.2373649,-0.075,0.081,0
20210601T132313.2694229,-0.072,0.076,0
20210601T132313.3653768,-0.072,0.076,0
20210601T132313.4613906,-0.055,0.084,0
20210601T132313.5411752,-0.055,0.084,0
20210601T132313.6373140,-0.073,0.084,0
20210601T132313.6693529,-0.073,0.084,0
20210601T132313.7973796,0.046,0.1,0
20210601T132313.8934539,0.046,0.1,0
20210601T132313.9731932,0.072,0.101,0
20210601T132314.0373407,0.072,0.101,0
20210601T132314.1013881,0.062,0.093,0
20210601T132314.1653923,0.062,0.093,0
20210601T132314.2294435,0.062,0.108,0
20210601T132314.2933839,0.062,0.108,0
20210601T132314.3731978,0.064,0.093,0
20210601T132314.4373766,0.064,0.093,0
20210601T132314.5013605,0.055,0.102,0
20210601T132314.5653887,0.055,0.102,0
20210601T132314.5973890,0.031,0.108,0
20210601T132314.6293930,0.031,0.108,0
20210601T132314.6933923,0.052,0.097,0
20210601T132314.7732217,0.052,0.097,0
20210601T132314.8372296,0.049,0.103,0
20210601T132314.9014932,0.049,0.103,0
20210601T132314.9333891,0.05,0.113,0
20210601T132314.9653440,0.05,0.113,0
20210601T132315.0294475,0.054,0.106,0
20210601T132315.0934217,0.054,0.106,0
20210601T132315.1253608,0.041,0.105,0
20210601T132315.2372344,0.041,0.105,0
20210601T132315.2692130,0.023,0.112,0
20210601T132315.3014807,0.023,0.112,0
20210601T132315.4293340,0.027,0.113,0
20210601T132315.4613200,0.027,0.113,0
20210601T132315.5253649,0.046,0.105,0
20210601T132315.5893746,0.046,0.105,0
20210601T132315.6372057,0.045,0.104,0
20210601T132315.7011800,0.045,0.104,0
20210601T132315.7653923,0.028,0.106,0
20210601T132315.8614232,0.028,0.106,0
20210601T132315.8933180,0.02,0.106,0
20210601T132315.9893385,0.02,0.106,0
20210601T132316.0213520,0.012,0.099,0
20210601T132316.0691540,0.012,0.099,0
20210601T132316.1012839,0.009,0.105,0
20210601T132316.1652980,0.009,0.105,0
20210601T132316.2613104,0.013,0.101,0
20210601T132316.3573243,0.013,0.101,0
20210601T132316.4213427,0.002,0.111,1
20210601T132316.5012257,0.002,0.111,1
20210601T132316.5331936,-0.004,0.106,1
20210601T132316.5973826,-0.004,0.106,1
20210601T132316.6294250,0.001,0.099,1
20210601T132316.7254850,0.001,0.099,1
20210601T132316.8214154,0.016,0.089,0
20210601T132316.8533452,0.016,0.089,0
20210601T132316.9651906,0.013,0.094,0
20210601T132317.0294072,0.013,0.094,0
20210601T132317.0613509,0.023,0.089,0
20210601T132317.1894240,0.023,0.089,0
20210601T132317.2214359,0.023,0.089,0
20210601T132317.3332454,-0.002,0.09,0
20210601T132317.3972248,-0.002,0.09,0
20210601T132317.4613237,0.004,0.08,0
20210601T132317.4933556,0.004,0.08,0
20210601T132317.5573832,-0.001,0.09,0
20210601T132317.5893735,-0.001,0.09,0
20210601T132317.6534171,-0.027,0.097,0
20210601T132317.7173996,-0.027,0.097,0
20210601T132317.7973570,-0.027,0.084,0
20210601T132317.8614041,-0.027,0.084,0
20210601T132317.9253961,-0.043,0.082,0
20210601T132317.9574098,-0.043,0.082,0
20210601T132317.9894327,-0.011,0.095,0
20210601T132318.1652524,-0.011,0.095,0
20210601T132318.2292271,0.081,0.091,0
20210601T132318.3254153,0.081,0.091,0
20210601T132318.3894411,0.084,0.099,0
20210601T132318.4533423,0.084,0.099,0
20210601T132318.4853259,0.058,0.097,0
20210601T132318.6292210,0.058,0.097,0
20210601T132318.6934881,0.057,0.097,0
20210601T132318.7253282,0.057,0.097,0
20210601T132318.7893323,0.052,0.1,0
20210601T132318.8853429,0.052,0.1,0
20210601T132318.9173046,0.038,0.099,0
20210601T132318.9817915,0.038,0.099,0
20210601T132319.0612263,0.039,0.105,0
20210601T132319.0932086,0.039,0.105,0
20210601T132319.1254514,0.025,0.102,0
20210601T132319.2213174,0.025,0.102,0
20210601T132319.3173785,0.021,0.108,0
20210601T132319.3496063,0.021,0.108,0
20210601T132319.4612528,-0.011,0.113,1
20210601T132319.4932653,-0.011,0.113,1
20210601T132319.5573681,-0.032,0.115,1
20210601T132319.6534556,-0.032,0.115,1
20210601T132319.7176146,-0.039,0.106,1
20210601T132319.8134405,-0.039,0.106,1
20210601T132319.8933047,-0.043,0.11,1
20210601T132319.9574159,-0.043,0.11,1
20210601T132319.9894066,-0.057,0.104,1
20210601T132320.0214441,-0.057,0.104,1
20210601T132320.1494408,-0.058,0.101,0
20210601T132320.1814977,-0.058,0.101,0
20210601T132320.2454366,-0.08,0.106,0
20210601T132320.3252844,-0.08,0.106,0
20210601T132320.3894166,0.037,0.106,0
