datetime,gazeX,gazeY,blink
20210601T124040.8022292,0,0,0
20210601T124040.8345540,0,0,0
20210601T124040.9623250,-0.012,0.062,0
20210601T124041.0903071,-0.012,0.062,0
20210601T124041.1702213,0.016,0.086,0
20210601T124041.2022207,0.016,0.086,0
20210601T124041.2984039,-0.002,0.089,0
20210601T124041.3622947,-0.002,0.089,0
20210601T124041.4263413,-0.016,0.082,0
20210601T124041.4582956,-0.016,0.082,0
20210601T124041.5701389,-0.026,0.087,0
20210601T124041.6021518,-0.026,0.087,0
20210601T124041.7303827,-0.035,0.072,0
20210601T124041.8584349,-0.035,0.072,0
20210601T124041.9544491,-0.008,0.028,0
20210601T124042.0021597,-0.008,0.028,0
20210601T124042.0663154,0.011,0.038,0
20210601T124042.1623097,0.011,0.038,0
20210601T124042.2583853,0.016,0.078,0
20210601T124042.3223532,0.016,0.078,0
20210601T124042.3543643,-0.038,0.061,0
20210601T124042.4342037,-0.038,0.061,0
20210601T124042.5303908,-0.043,0.043,0
20210601T124042.5623737,-0.043,0.043,0
20210601T124042.6903763,-0.063,0.027,0
20210601T124042.7864750,-0.063,0.027,0
20210601T124042.8662234,-0.067,0.025,0
20210601T124042.8982128,-0.067,0.025,0
20210601T124042.9943464,-0.082,0.034,0
20210601T124043.0905056,-0.082,0.034,0
20210601T124043.1543338,-0.098,0.025,0
20210601T124043.2183360,-0.098,0.025,0
20210601T124043.2981385,-0.088,0.005,0
20210601T124043.3943587,-0.088,0.005,0
20210601T124043.4903018,-0.093,0.009,0
20210601T124043.5544952,-0.093,0.009,0
20210601T124043.6504258,-0.107,0.019,0
20210601T124043.6981862,-0.107,0.019,0
20210601T124043.7301690,-0.025,0.076,0
20210601T124043.8264442,-0.025,0.076,0
20210601T124043.8903518,-0.003,0.02,0
20210601T124043.9548946,-0.003,0.02,0
20210601T124043.9863889,0.026,0.042,0
20210601T124044.0186268,0.026,0.042,0
20210601T124044.1302079,0.018,0.053,0
20210601T124044.2263680,0.018,0.053,0
20210601T124044.2903892,0.014,0.055,0
