datetime,gazeX,gazeY,blink
20210601T130042.4207249,0,0,0
20210601T130042.5168788,0,0,0
20210601T130042.5808068,0.045,0.005,0
20210601T130042.7087735,0.045,0.005,0
20210601T130042.7886549,0.052,-0.04,0
20210601T130042.8847357,0.052,-0.04,0
20210601T130042.9488895,0.042,-0.023,0
20210601T130043.0128045,0.042,-0.023,0
20210601T130043.0448085,0.038,-0.059,0
20210601T130043.2206733,0.038,-0.059,0
20210601T130043.2526871,0.036,-0.051,0
20210601T130043.3168584,0.036,-0.051,0
20210601T130043.3808689,0.02,-0.06,0
20210601T130043.4769151,0.02,-0.06,0
20210601T130043.5088503,0.017,-0.057,0
20210601T130043.6206969,0.017,-0.057,0
20210601T130043.6526611,0.008,-0.06,0
20210601T130043.7488316,0.008,-0.06,0
20210601T130043.8448916,-0.01,-0.034,0
20210601T130043.8768520,-0.01,-0.034,0
20210601T130044.0048557,-0.008,-0.029,0
20210601T130044.0846872,-0.008,-0.029,0
20210601T130044.2128963,-0.026,-0.03,0
20210601T130044.2768095,-0.026,-0.03,0
20210601T130044.3089944,-0.004,-0.044,0
20210601T130044.4047897,-0.004,-0.044,0
20210601T130044.4846666,-0.025,-0.039,0
20210601T130044.5488422,-0.025,-0.039,0
20210601T130044.6128981,-0.02,-0.052,0
20210601T130044.7088281,-0.02,-0.052,0
20210601T130044.7729221,-0.003,-0.071,0
20210601T130044.8369265,-0.003,-0.071,0
20210601T130044.9167539,0.059,-0.05,0
20210601T130044.9808799,0.111,-0.045,0
20210601T130045.0129140,0.111,-0.045,0
20210601T130045.1088506,0.085,-0.026,0
20210601T130045.1408499,0.085,-0.026,0
20210601T130045.1728624,0.065,-0.026,0
20210601T130045.3166568,0.065,-0.026,0
20210601T130045.3806379,0.058,-0.061,0
20210601T130045.4128622,0.058,-0.061,0
20210601T130045.5408033,0.071,-0.031,0
20210601T130045.5728292,0.071,-0.031,0
20210601T130045.6690809,0.073,-0.047,0
20210601T130045.7486742,0.073,-0.047,0
20210601T130045.7806964,0.064,-0.029,0
20210601T130045.9088402,0.064,-0.029,0
20210601T130045.9728912,0.022,-0.059,0
20210601T130046.0688979,0.022,-0.059,0
20210601T130046.1806890,0.043,-0.031,0
20210601T130046.2126518,0.043,-0.031,0
20210601T130046.2767810,0.027,-0.073,0
20210601T130046.3089789,0.027,-0.073,0
20210601T130046.3409569,0.034,-0.055,0
20210601T130046.5008581,0.034,-0.055,0
20210601T130046.5806766,0.095,-0.051,0
20210601T130046.6126755,0.095,-0.051,0
20210601T130046.6446853,0.046,-0.059,0
20210601T130046.6768252,0.046,-0.059,0
20210601T130046.7088708,0.081,-0.05,0
20210601T130046.8368532,0.081,-0.05,0
20210601T130046.9008464,0.082,-0.07,0
20210601T130046.9648596,0.082,-0.07,0
20210601T130047.0767069,0.083,-0.031,0
20210601T130047.1088689,0.083,-0.031,0
20210601T130047.2368582,0.072,-0.033,0
20210601T130047.2687899,0.072,-0.033,0
20210601T130047.4446844,0.045,-0.018,0
20210601T130047.4770758,0.045,-0.018,0
20210601T130047.6048110,0.03,-0.03,0
20210601T130047.6688578,0.03,-0.03,0
20210601T130047.7649634,0.049,-0.029,0
20210601T130047.8447043,0.049,-0.029,0
20210601T130047.8767446,0.055,-0.04,0
20210601T130047.9408702,0.055,-0.04,0
20210601T130047.9729281,0.061,-0.037,0
20210601T130048.0049507,0.061,-0.037,0
20210601T130048.0368842,0.067,-0.037,0
20210601T130048.1329402,0.067,-0.037,0
20210601T130048.1649249,0.032,-0.011,0
20210601T130048.3087219,0.032,-0.011,0
20210601T130048.3731087,0.057,-0.01,1
20210601T130048.4688091,0.057,-0.01,1
20210601T130048.5648527,0.023,-0.008,1
20210601T130048.6289295,0.023,-0.008,1
20210601T130048.7086756,0.059,-0.014,0
20210601T130048.7727485,0.059,-0.014,0
20210601T130048.8688837,0.078,-0.009,0
