datetime,gazeX,gazeY,blink
20210601T125427.4931006,0,0,0
20210601T125427.5251155,0,0,0
20210601T125427.6530835,0.033,0.035,0
20210601T125427.7810753,0.033,0.035,0
20210601T125427.8290741,0.056,0.032,0
20210601T125427.8930104,0.056,0.032,0
20210601T125427.9571908,0.05,0.053,0
20210601T125427.9891834,0.05,0.053,0
20210601T125428.0852755,0.042,0.016,0
20210601T125428.1172625,0.042,0.016,0
20210601T125428.1812508,0.007,0.026,0
20210601T125428.2610229,0.007,0.026,0
20210601T125428.2930244,0.039,0.027,0
20210601T125428.3250194,0.039,0.027,0
20210601T125428.4532256,0.038,0.037,0
20210601T125428.4852073,0.038,0.037,0
20210601T125428.5812947,0.049,0.027,0
20210601T125428.6451896,0.049,0.027,0
20210601T125428.7250718,0.017,0.036,0
20210601T125428.8212413,0.017,0.036,0
20210601T125428.9172408,0.012,0.011,0
20210601T125429.0132822,0.012,0.011,0
20210601T125429.0930397,-0.003,0.002,0
20210601T125429.1250496,-0.003,0.002,0
20210601T125429.1570035,0.005,-0.004,0
20210601T125429.2852892,0.005,-0.004,0
20210601T125429.3811657,-0.019,-0.022,0
20210601T125429.4452340,-0.019,-0.022,0
20210601T125429.5890348,-0.013,0.014,0
20210601T125429.6211968,-0.013,0.014,0
20210601T125429.7491852,-0.02,0.013,0
20210601T125429.7811539,-0.02,0.013,0
20210601T125429.9092276,-0.033,0.027,0
20210601T125429.9890893,-0.033,0.027,0
20210601T125430.0210830,-0.026,0.013,0
20210601T125430.0532248,-0.023,-0.008,0
20210601T125430.1493470,-0.023,-0.008,0
20210601T125430.2452519,-0.02,-0,0
20210601T125430.2772856,-0.02,-0,0
20210601T125430.3093005,-0.044,0.001,0
20210601T125430.3890670,-0.044,0.001,0
20210601T125430.4210771,-0.023,-0.02,0
20210601T125430.5177561,-0.023,-0.02,0
20210601T125430.5491764,-0.042,0.007,0
20210601T125430.6452889,-0.042,0.007,0
20210601T125430.7411707,-0.032,0.006,0
20210601T125430.7889882,-0.032,0.006,0
20210601T125430.8209844,-0.043,-0.015,0
20210601T125430.8852058,-0.043,-0.015,0
20210601T125430.9492326,0.027,0.017,0
20210601T125431.0132409,0.027,0.017,0
20210601T125431.1092433,0.041,-0.024,0
20210601T125431.2210742,0.041,-0.024,0
20210601T125431.2850601,0.08,-0.003,0
20210601T125431.3492038,0.08,-0.003,0
20210601T125431.4132274,0.109,-0.013,0
20210601T125431.4453169,0.109,-0.013,0
20210601T125431.5092234,0.124,0.009,0
20210601T125431.5732426,0.124,0.009,0
20210601T125431.6052910,0.119,0.062,0
20210601T125431.7170429,0.119,0.062,0
20210601T125431.7812198,0.11,0.071,0
20210601T125431.8131611,0.11,0.071,0
20210601T125431.9731663,0.093,0.059,0
20210601T125432.0372793,0.093,0.059,0
20210601T125432.0850469,0.079,0.061,0
20210601T125432.1170505,0.079,0.061,0
20210601T125432.3092608,0.087,0.037,0
20210601T125432.3413289,0.087,0.037,0
20210601T125432.3732989,0.084,0.045,0
20210601T125432.5170443,0.084,0.045,0
20210601T125432.5490626,0.072,0.043,0
20210601T125432.6132091,0.072,0.043,0
20210601T125432.7411973,0.058,0.059,0
20210601T125432.8371754,0.058,0.059,0
20210601T125432.9490577,0.055,0.031,0
20210601T125433.0131901,0.055,0.031,0
20210601T125433.0774842,0.052,0.021,0
20210601T125433.1092814,0.052,0.021,0
20210601T125433.2692333,0.005,0.037,0
20210601T125433.3811060,0.005,0.037,0
20210601T125433.4453340,0.033,0.063,0
20210601T125433.5092514,0.033,0.063,0
20210601T125433.6051245,0.055,0.032,0
20210601T125433.6692373,0.055,0.032,0
20210601T125433.7331900,0.058,0.026,0
20210601T125433.7810276,0.058,0.026,0
20210601T125433.8452595,0.044,0.038,0
20210601T125433.9091540,0.044,0.038,0
20210601T125433.9412288,0.028,0.032,0
20210601T125434.0052290,0.028,0.032,0
20210601T125434.0692535,0.009,0.028,0
20210601T125434.1013662,0.009,0.028,0
20210601T125434.2131029,0.031,0.015,0
20210601T125434.3091776,0.031,0.015,0
20210601T125434.3731414,0.006,0.027,0
20210601T125434.4374991,0.006,0.027,0
20210601T125434.5332396,0.001,0.028,0
20210601T125434.6130766,0.001,0.028,0
20210601T125434.7092086,-0.017,0.013,0
20210601T125434.7733787,-0.017,0.013,0
