GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
1.4083365,1,0.083000004,0,0.083000004,0.083000004,0.083000004,0,3.6638312,0,3.6638312,3.6638312,3.6638312,0,0,0,0,0,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,10,0,10,10,10,0,inattentive
1.3942411,1,0.08499999,0,0.08499999,0.08499999,0.08499999,0,4.55995,0,4.55995,4.55995,4.55995,0,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.1020049,0,0.1020049,0.1020049,0.1020049,0,4.7999487,0,4.7999487,4.7999487,4.7999487,0,8.25,2,4.6401887,1.4081281,4.6401887,3.2320607,6.048317,2.8162563,0.2159573,0.2159573,0.2159573,0,0.4319146,0.4319146,inattentive
1.9817072,3,0.06,0.0049665556,0.056999996,0.056,0.067,0.011,2.624101,0.9430774,3.184413,1.2957894,3.3921006,2.096311,3,0.117,0.0113137085,0.109000005,0.109,0.133,0.024000004,2.9600995,1.8692727,3.2000117,0.5602087,5.120078,4.5598693,5,0.12166873,0.01638044,0.11205803,0.10288343,0.14566056,0.042777136,1.7760597,1.0327961,1.7279606,0.5602087,3.3921175,2.8319087,0.17460318,2,0.4799835,0.016105905,0.4799835,0.4638776,0.4960894,0.03221181,4.488224,1.0638816,4.488224,3.4243422,5.5521054,2.1277633,inattentive
1.7782397,4,0.06875,0.012968712,0.066,0.056,0.087,0.030999996,2.328093,1.7053099,1.7761338,0.6720842,5.0880203,4.415936,2,0.126,0.024000004,0.126,0.102,0.15,0.048000008,4.2882586,3.6318457,4.2882586,0.656413,7.9201045,7.2636914,3,0.12508339,0.017629972,0.11292918,0.112307616,0.15001334,0.037705727,3.104124,3.4055667,0.7358545,0.656413,7.9201045,7.2636914,0.79518074,4,0.8799053,0.43998718,0.72790104,0.4640491,1.59977,1.1357208,1.6081078,1.4468,0.96813333,0.4321294,4.0640354,3.631906,inattentive
1.7426288,4,0.07350001,0.027879205,0.0615,0.050000004,0.12100001,0.071,1.1079881,0.254843,1.1440706,0.7358944,1.4079169,0.6720225,1,0.12799999,0,0.12799999,0.12799999,0.12799999,0,4.7037663,0,4.7037663,4.7037663,4.7037663,0,4,0.11264568,0.0041171773,0.112785056,0.10816654,0.116846055,0.008679517,1.1319923,0.32830876,1.1840022,0.6240731,1.5358921,0.91181904,0.05839416,1,0.5281104,0,0.5281104,0.5281104,0.5281104,0,1.9039502,0,1.9039502,1.9039502,1.9039502,0,inattentive
1.700284,3,0.061666667,0.012970049,0.053000003,0.052,0.08,0.027999997,2.960067,2.2453372,3.3600943,0.0319968,5.48811,5.4561133,1,0.127,0,0.127,0.127,0.127,0,2.0320976,0,2.0320976,2.0320976,2.0320976,0,2,0.12004663,0.010922838,0.12004663,0.10912379,0.13096946,0.021845676,1.3519423,0.6801553,1.3519423,0.671787,2.0320976,1.3603106,0.027972028,0,0,0,0,0,0,0,10,0,10,10,10,0,inattentive
1.6762832,4,0.064,0.012688578,0.060000002,0.051,0.085,0.034,2.1638808,1.0351297,2.1516805,0.7201775,3.6319852,2.9118078,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.103469804,0,0.103469804,0.103469804,0.103469804,0,6.6556087,0,6.6556087,6.6556087,6.6556087,0,0.014285714,0,0,0,0,0,0,0,10,0,10,10,10,0,inattentive
1.7427003,7,0.060142856,0.009402563,0.057,0.051,0.076000005,0.025000006,1.1862955,1.3400892,0.7681135,0,4.3839364,4.3839364,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.112605505,0,0.112605505,0.112605505,0.112605505,0,6.719875,0,6.719875,6.719875,6.719875,0,0,0,0,0,0,0,0,0,10,0,10,10,10,0,inattentive
