datetime,gazeX,gazeY,blink
20210601T174049.6965263,0,0,0
20210601T174049.8564886,0,0,0
20210601T174049.9844441,0.013,0.082,0
20210601T174050.0962899,0.013,0.082,0
20210601T174050.1604166,0.012,0.092,0
20210601T174050.1924898,0.012,0.092,0
20210601T174050.2885657,0.004,0.093,0
20210601T174050.3204151,0.004,0.093,0
20210601T174050.3526279,0.006,0.085,0
20210601T174050.4644099,0.006,0.085,0
20210601T174050.5284427,-0.003,0.054,0
20210601T174050.5604642,-0.003,0.054,0
20210601T174050.6565884,0.013,0.07,0
20210601T174050.6885260,0.013,0.07,0
20210601T174050.7525257,0.013,0.112,0
20210601T174050.7845383,0.013,0.112,0
20210601T174050.8963003,0.003,0.114,0
20210601T174050.9282875,0.003,0.114,0
20210601T174051.0244561,0.022,0.171,1
20210601T174051.0884727,0.022,0.171,1
20210601T174051.1844366,0.032,0.092,0
20210601T174051.2165529,0.032,0.092,0
20210601T174051.3282701,0,0.118,0
20210601T174051.3602620,0,0.118,0
20210601T174051.4563824,0.018,0.118,0
20210601T174051.4884816,0.018,0.118,0
20210601T174051.5524678,0.025,0.096,0
20210601T174051.5844865,0.012,0.056,0
20210601T174051.6484938,0.012,0.056,0
20210601T174051.7283408,0.025,0.07,0
20210601T174051.7922747,0.025,0.07,0
20210601T174051.8564971,0.004,0.048,0
20210601T174051.8887345,0.004,0.048,0
20210601T174052.0484222,0.024,0.03,0
20210601T174052.0804804,0.024,0.03,0
20210601T174052.1922532,0.019,0.044,0
20210601T174052.2884231,0.019,0.044,0
20210601T174052.3526988,0.02,0.054,0
20210601T174052.4484751,0.02,0.054,0
20210601T174052.4804938,0.011,0.039,0
20210601T174052.5923040,0.011,0.039,0
20210601T174052.6564294,0.012,0.07,0
20210601T174052.7204719,0.012,0.07,0
20210601T174052.7844918,0.01,0.05,0
20210601T174052.8164633,0.01,0.05,0
20210601T174052.9923278,0.032,0.101,1
20210601T174053.0243777,0.032,0.101,1
20210601T174053.0884743,0.014,0.071,0
20210601T174053.1204795,0.014,0.071,0
20210601T174053.1525279,-0.007,0.077,0
20210601T174053.2486051,-0.007,0.077,0
20210601T174053.3124775,-0.008,0.074,0
20210601T174053.3765606,-0.008,0.074,0
20210601T174053.4243259,-0.025,0.061,0
20210601T174053.5204869,-0.025,0.061,0
20210601T174053.5845016,0.003,0.044,0
20210601T174053.6164569,0.003,0.044,0
20210601T174053.7125436,0.007,0.051,0
20210601T174053.7445501,0.007,0.051,0
20210601T174053.7765546,-0.021,0.063,0
20210601T174053.8563431,-0.021,0.063,0
20210601T174053.9221916,-0.009,0.049,0
20210601T174054.0165062,-0.009,0.049,0
20210601T174054.1125000,-0.002,0.044,0
20210601T174054.1445282,-0.002,0.044,0
20210601T174054.2085369,-0.006,0.166,1
20210601T174054.2883114,-0.006,0.166,1
20210601T174054.3524773,0.013,0.126,1
20210601T174054.4485452,0.013,0.126,1
20210601T174054.5125248,0.027,0.115,0
20210601T174054.5444716,0.027,0.115,0
20210601T174054.6087327,-0.003,0.096,0
20210601T174054.6405841,-0.003,0.096,0
20210601T174054.7523496,0.008,0.121,0
20210601T174054.8164648,0.033,0.141,0
20210601T174054.8807157,0.033,0.141,0
20210601T174054.9444149,0.079,0.119,0
20210601T174055.0085577,0.079,0.119,0
20210601T174055.0404418,0.043,0.109,0
20210601T174055.1202877,0.043,0.109,0
20210601T174055.1522875,0.05,0.089,0
20210601T174055.2164558,0.05,0.089,0
20210601T174055.2804967,0.012,0.073,0
20210601T174055.3764193,0.012,0.073,0
20210601T174055.4084472,-0,0.086,0
20210601T174055.5044809,-0,0.086,0
20210601T174055.5522931,-0.046,0.121,0
20210601T174055.5843062,-0.046,0.121,0
20210601T174055.6807572,-0.061,0.095,0
20210601T174055.7124752,-0.061,0.095,0
20210601T174055.7445058,-0.077,0.143,0
20210601T174055.7765032,-0.077,0.143,0
20210601T174056.0164199,-0.088,0.137,0
20210601T174056.0485075,-0.088,0.137,0
20210601T174056.1125347,-0.1,0.145,0
20210601T174056.1444339,-0.1,0.145,0
20210601T174056.2085526,-0.097,0.135,0
20210601T174056.2725214,-0.097,0.135,0
20210601T174056.3843300,-0.109,0.14,0
20210601T174056.4163038,-0.109,0.14,0
20210601T174056.4805621,-0.107,0.112,0
20210601T174056.5444741,-0.107,0.112,0
20210601T174056.6405760,-0.106,0.112,0
20210601T174056.7045159,-0.106,0.112,0
20210601T174056.7684984,-0.102,0.125,0
20210601T174056.8483473,-0.102,0.125,0
20210601T174056.8803802,-0.101,0.124,0
20210601T174057.0084870,-0.101,0.124,0
20210601T174057.0724497,-0.022,0.109,0
20210601T174057.1044709,-0.022,0.109,0
20210601T174057.1686838,0.003,0.13,0
20210601T174057.2483561,0.003,0.13,0
20210601T174057.2803971,0.024,0.098,0
20210601T174057.3124919,0.024,0.098,0
20210601T174057.3765119,0.02,0.103,0
20210601T174057.4724767,0.02,0.103,0
20210601T174057.5045813,0.017,0.094,0
20210601T174057.6482947,0.017,0.094,0
20210601T174057.6802901,0.022,0.085,0
20210601T174057.7765195,0.022,0.085,0
20210601T174057.8404791,0.002,0.092,0
20210601T174057.9044988,0.002,0.092,0
20210601T174057.9364675,0.022,0.07,0
20210601T174058.0803690,0.022,0.07,0
20210601T174058.1122777,-0.01,0.104,0
20210601T174058.1443064,-0.01,0.104,0
20210601T174058.2085549,-0.001,0.093,0
20210601T174058.2405474,-0.001,0.093,0
20210601T174058.3365168,-0.018,0.08,0
20210601T174058.4004536,-0.018,0.08,0
20210601T174058.4646167,-0.006,0.097,0
20210601T174058.5443067,-0.006,0.097,0
20210601T174058.5764161,-0.004,0.09,0
20210601T174058.7044508,-0.004,0.09,0
20210601T174058.7686633,-0.012,0.091,0
20210601T174058.8966172,-0.012,0.091,0
20210601T174058.9763730,-0.012,0.108,0
20210601T174059.0404536,-0.021,0.102,0
20210601T174059.1044745,-0.021,0.102,0
20210601T174059.1685758,-0.037,0.086,0
20210601T174059.2326598,-0.037,0.086,0
20210601T174059.2964958,-0.032,0.105,0
20210601T174059.3762943,-0.032,0.105,0
20210601T174059.4404432,-0.018,0.116,0
20210601T174059.4724489,-0.018,0.116,0
20210601T174059.5684631,0.005,0.189,1
20210601T174059.6325188,0.005,0.189,1
20210601T174059.6645516,-0.041,0.181,1
20210601T174059.7284643,-0.041,0.181,1
20210601T174059.8083197,-0.056,0.12,1
20210601T174059.8403354,-0.056,0.12,1
20210601T174059.9044777,-0.054,0.116,0
20210601T174059.9684937,-0.054,0.116,0
20210601T174100.0324549,-0.046,0.099,0
20210601T174100.0965107,-0.046,0.099,0
20210601T174100.1604683,-0.068,0.122,0
20210601T174100.2083760,-0.068,0.122,0
20210601T174100.2724695,-0.06,0.1,0
20210601T174100.3364934,-0.06,0.1,0
20210601T174100.3684533,-0.064,0.102,0
20210601T174100.4646294,-0.064,0.102,0
20210601T174100.4964955,-0.069,0.105,0
20210601T174100.5604891,-0.069,0.105,0
20210601T174100.6403725,-0.064,0.116,0
20210601T174100.6723644,-0.064,0.116,0
20210601T174100.7365040,-0.069,0.112,0
20210601T174100.8005641,-0.069,0.112,0
20210601T174100.8645905,0.014,0.1,0
20210601T174100.9285672,0.014,0.1,0
20210601T174100.9925720,0.013,0.1,0
20210601T174101.0723790,0.013,0.1,0
20210601T174101.1043877,0.027,0.091,0
20210601T174101.1365502,0.027,0.091,0
20210601T174101.2005168,0.014,0.079,0
20210601T174101.2326619,0.014,0.079,0
20210601T174101.2647444,0,0.069,0
20210601T174101.4246488,0,0.069,0
20210601T174101.4723770,0.001,0.09,0
20210601T174101.5363817,0.001,0.09,0
20210601T174101.6005547,0.009,0.087,0
20210601T174101.6325481,0.009,0.087,0
20210601T174101.6965202,-0.006,0.077,0
20210601T174101.7285433,-0.006,0.077,0
20210601T174101.8245493,-0.002,0.085,0
20210601T174101.9043928,-0.002,0.085,0
20210601T174101.9363818,-0.005,0.103,0
20210601T174102.0325282,-0.005,0.103,0
20210601T174102.0646272,-0.006,0.107,0
20210601T174102.1606327,-0.016,0.076,0
20210601T174102.2566612,-0.016,0.076,0
20210601T174102.3363701,-0.013,0.09,0
20210601T174102.3683299,-0.013,0.09,0
20210601T174102.4325527,-0.022,0.09,0
20210601T174102.5285419,-0.022,0.09,0
20210601T174102.5925691,-0.022,0.092,0
20210601T174102.6246458,-0.022,0.092,0
20210601T174102.7683921,-0.018,0.064,0
20210601T174102.8325336,-0.018,0.064,0
20210601T174102.8964662,-0.039,0.081,0
20210601T174102.9926325,-0.039,0.081,0
20210601T174103.0245136,-0.036,0.09,0
20210601T174103.0885107,-0.036,0.09,0
20210601T174103.1205340,-0.03,0.094,0
20210601T174103.2003514,-0.03,0.094,0
20210601T174103.2323635,-0.046,0.097,0
20210601T174103.2645797,-0.046,0.097,0
20210601T174103.4564867,-0.049,0.097,0
20210601T174103.5208391,-0.049,0.097,0
20210601T174103.5526156,-0.057,0.083,0
20210601T174103.6323961,-0.057,0.083,0
20210601T174103.6647042,-0.067,0.086,0
20210601T174103.7925808,-0.067,0.086,0
20210601T174103.8885842,-0.074,0.11,0
20210601T174103.9526033,-0.074,0.11,0
20210601T174104.0323527,-0.071,0.107,0
20210601T174104.0643306,-0.071,0.107,0
20210601T174104.1925824,-0.089,0.104,0
20210601T174104.2568926,-0.089,0.104,0
20210601T174104.3205305,-0.058,0.115,0
20210601T174104.4323716,-0.058,0.115,0
20210601T174104.4963498,-0.051,0.091,0
20210601T174104.5284701,-0.051,0.091,0
20210601T174104.5604986,-0.045,0.108,0
20210601T174104.6245545,-0.045,0.108,0
20210601T174104.7205245,0.037,0.114,0
20210601T174104.7845749,0.037,0.114,0
20210601T174104.8643958,0.007,0.086,0
20210601T174104.9284053,0.007,0.086,0
20210601T174104.9605130,0.018,0.11,0
20210601T174104.9926276,0.018,0.11,0
20210601T174105.0245564,0.023,0.097,0
20210601T174105.0565762,0.023,0.097,0
20210601T174105.2964100,0.018,0.122,0
20210601T174105.3605811,-0.048,-0.214,0
20210601T174105.4245695,-0.048,-0.214,0
20210601T174105.4566777,0.046,-0.174,0
20210601T174105.5205376,0.046,-0.174,0
20210601T174105.5845583,0.008,0.059,1
20210601T174105.6485702,0.008,0.059,1
20210601T174105.6964159,0.022,0.019,1
20210601T174105.7604823,0.022,0.019,1
20210601T174105.8245764,0.025,0.002,1
20210601T174105.8886544,0.025,0.002,1
20210601T174105.9205950,0.027,-0.028,1
20210601T174105.9526723,0.027,-0.028,1
20210601T174106.0807955,0.042,-0.002,1
20210601T174106.1604473,0.042,-0.002,1
20210601T174106.1924075,0.02,-0.037,1
20210601T174106.2566289,0.02,-0.037,1
20210601T174106.3205739,0.027,-0.019,1
20210601T174106.3845769,0.027,-0.019,1
20210601T174106.4485643,0.037,-0.026,1
20210601T174106.5604458,0.037,-0.026,1
20210601T174106.6244368,0.012,-0.074,1
20210601T174106.6885696,0.012,-0.074,1
20210601T174106.7525691,-0.009,-0.044,0
20210601T174106.8165314,-0.009,-0.044,0
20210601T174106.8807029,-0.003,0.002,1
20210601T174106.9125153,-0.003,0.002,1
20210601T174106.9924311,-0.033,-0.036,1
20210601T174107.0244382,-0.033,-0.036,1
20210601T174107.0885541,-0.023,0.029,1
20210601T174107.1846395,-0.023,0.029,1
20210601T174107.2485657,-0.044,0.058,1
20210601T174107.3125944,-0.044,0.058,1
20210601T174107.3924451,-0.01,0.049,1
20210601T174107.4244228,-0.01,0.049,1
20210601T174107.4885866,-0.027,0.046,1
20210601T174107.5845604,-0.027,0.046,1
20210601T174107.6165910,-0.03,0.01,1
20210601T174107.6806616,-0.03,0.01,1
20210601T174107.7446412,-0.026,0.016,1
20210601T174107.8244468,-0.026,0.016,1
20210601T174107.8884419,-0.008,-0.03,1
20210601T174107.9525700,-0.008,-0.03,1
20210601T174107.9845785,-0.019,-0.01,1
20210601T174108.0808707,-0.019,-0.01,1
20210601T174108.1445996,-0.031,-0.017,1
20210601T174108.1766704,-0.031,-0.017,1
20210601T174108.2085989,-0.021,-0.006,1
20210601T174108.3525405,-0.021,-0.006,1
20210601T174108.3845395,-0.047,0.015,1
20210601T174108.4165888,-0.047,0.015,1
20210601T174108.5449966,-0.025,0.019,0
20210601T174108.6085592,-0.025,0.019,0
20210601T174108.6883879,-0.061,-0.004,0
20210601T174108.7203852,-0.061,-0.004,0
20210601T174108.7845598,-0.038,0.002,1
20210601T174108.8485521,-0.038,0.002,1
20210601T174108.8806156,-0.052,0.003,0
20210601T174108.9765531,-0.052,0.003,0
20210601T174109.0405332,-0.057,0.042,0
20210601T174109.0883789,-0.057,0.042,0
20210601T174109.1203902,-0.05,0.051,0
20210601T174109.1845514,-0.05,0.051,0
20210601T174109.2484892,-0.064,0.049,0
20210601T174109.3445965,-0.064,0.049,0
20210601T174109.4086046,-0.079,0.025,0
20210601T174109.4726541,-0.079,0.025,0
20210601T174109.5204213,-0.06,0.015,0
20210601T174109.5844201,-0.06,0.015,0
20210601T174109.6165984,-0.081,-0.007,0
20210601T174109.7449744,-0.081,-0.007,0
20210601T174109.8405468,-0.074,0.013,0
20210601T174109.9045621,-0.074,0.013,0
20210601T174109.9844274,-0.073,0.003,0
20210601T174110.0485535,-0.073,0.003,0
20210601T174110.1125413,0.013,-0.006,0
20210601T174110.1765370,0.013,-0.006,0
20210601T174110.2085200,-0.002,0.024,0
20210601T174110.3045707,0.002,0.009,0
20210601T174110.3365477,0.002,0.009,0
20210601T174110.3843913,-0.002,0,0
20210601T174110.4805301,-0.002,0,0
20210601T174110.5125605,-0.001,0.003,0
20210601T174110.6405578,-0.001,0.003,0
20210601T174110.7045781,0.008,0.007,0
20210601T174110.7365880,0.008,0.007,0
20210601T174110.8164639,0.002,-0.001,0
20210601T174110.8806130,0.002,-0.001,0
20210601T174110.9765286,-0.007,0.003,0
20210601T174111.0406504,-0.007,0.003,0
20210601T174111.0726262,0.004,0.015,0
20210601T174111.1045932,0.004,0.015,0
20210601T174111.2164168,-0.011,0.013,0
20210601T174111.2804962,-0.011,0.013,0
20210601T174111.3765871,-0.011,0.077,1
20210601T174111.4406243,-0.011,0.077,1
20210601T174111.4726077,-0.003,0.052,1
20210601T174111.5686986,-0.003,0.052,1
20210601T174111.6804873,-0.006,0.007,1
20210601T174111.7445602,-0.006,0.007,1
20210601T174111.7765398,-0.029,-0.003,0
20210601T174111.8726525,-0.029,-0.003,0
20210601T174111.9365504,-0.028,0.012,0
20210601T174112.0325923,-0.028,0.012,0
20210601T174112.0804602,-0.035,-0.005,0
20210601T174112.1445968,-0.035,-0.005,0
20210601T174112.2085798,-0.05,0.006,0
20210601T174112.3046764,-0.05,0.006,0
20210601T174112.3686264,-0.034,0.025,0
20210601T174112.4006052,-0.034,0.025,0
20210601T174112.4326410,-0.042,0.036,0
20210601T174112.5124590,-0.042,0.036,0
20210601T174112.5445093,-0.053,-0.015,0
20210601T174112.6086731,-0.053,-0.015,0
