datetime,gazeX,gazeY,blink
20210601T125316.0655642,0,0,0
20210601T125316.2256680,0,0,0
20210601T125316.3216084,0.036,0.096,0
20210601T125316.4334855,0.036,0.096,0
20210601T125316.4976488,0.06,0.102,0
20210601T125316.5616652,0.06,0.102,0
20210601T125316.6256415,0.07,0.094,0
20210601T125316.6902012,0.07,0.094,0
20210601T125316.7216554,0.069,0.067,0
20210601T125316.7856999,0.069,0.067,0
20210601T125316.8655149,0.09,0.053,0
20210601T125316.8976979,0.09,0.053,0
20210601T125316.9617043,0.085,0.079,0
20210601T125317.0256494,0.085,0.079,0
20210601T125317.0896601,0.084,0.083,0
20210601T125317.1217782,0.084,0.083,0
20210601T125317.2335428,0.065,0.074,0
20210601T125317.2655382,0.065,0.074,0
20210601T125317.3297168,0.07,0.095,1
20210601T125317.3936789,0.07,0.095,1
20210601T125317.4577749,0.073,0.087,0
20210601T125317.5217940,0.073,0.087,0
20210601T125317.5856775,0.075,0.082,0
20210601T125317.6177077,0.075,0.082,0
20210601T125317.6975482,0.079,0.099,0
20210601T125317.7295115,0.079,0.099,0
20210601T125317.7616376,0.064,0.069,0
20210601T125317.8896616,0.064,0.069,0
20210601T125317.9856610,0.045,0.072,0
20210601T125318.0180027,0.044,0.081,0
20210601T125318.1295386,0.044,0.081,0
20210601T125318.1615383,0.002,0.058,0
20210601T125318.1936917,0.002,0.058,0
20210601T125318.2896809,0.011,0.091,0
20210601T125318.3856810,0.011,0.091,0
20210601T125318.5294957,-0.002,0.073,0
20210601T125318.5937358,-0.002,0.073,0
20210601T125318.6577393,0.006,0.071,0
20210601T125318.7857571,0.006,0.071,0
20210601T125318.8177325,-0.022,0.056,0
20210601T125318.8817068,-0.022,0.056,0
20210601T125318.9934854,-0.03,0.068,0
20210601T125319.0896326,-0.03,0.068,0
20210601T125319.1536376,-0.036,0.076,0
20210601T125319.2496646,-0.036,0.076,0
20210601T125319.3136793,-0.033,0.076,0
20210601T125319.3935331,-0.033,0.076,0
20210601T125319.4255401,-0.043,0.067,0
20210601T125319.5217491,-0.043,0.067,0
20210601T125319.5856820,-0.047,0.076,0
20210601T125319.6177711,-0.047,0.076,0
20210601T125319.6496898,-0.039,0.094,0
20210601T125319.7137532,-0.039,0.094,0
20210601T125319.7457254,-0.042,0.066,0
20210601T125319.8255338,-0.042,0.066,0
20210601T125319.9217223,-0.051,0.057,0
20210601T125320.0177410,-0.051,0.057,0
20210601T125320.1136851,-0.056,0.062,0
20210601T125320.1777665,-0.056,0.062,0
20210601T125320.2257895,-0.06,0.076,0
20210601T125320.2897229,-0.06,0.076,0
20210601T125320.3857399,-0.057,0.084,0
20210601T125320.4497043,-0.057,0.084,0
20210601T125320.5137376,0.063,0.068,0
20210601T125320.5777086,0.063,0.068,0
20210601T125320.6255653,0.07,0.075,0
20210601T125320.7217243,0.07,0.075,0
20210601T125320.7537091,0.06,0.045,0
20210601T125320.8177197,0.06,0.045,0
20210601T125320.9457235,0.045,0.065,0
